읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 김경수,국민의힘 박완수,계,무효 투표수,기권자수
합계,,224396,150672,69826,77305,147131,3541,73724
관외사전투표,,13791,13786,7922,5633,13555,231,5
문산읍,계,6539,4313,1992,2176,4168,145,2226
문산읍,관내사전투표,1721,1720,1077,611,1688,32,1
문산읍,선거일투표,4818,2593,915,1565,2480,113,2225
내동면,계,3135,2206,996,1164,2160,46,929
내동면,관내사전투표,900,900,526,367,893,7,0
내동면,선거일투표,2235,1306,470,797,1267,39,929
정촌면,계,6696,4261,2072,2116,4188,73,2435
정촌면,관내사전투표,1488,1488,896,579,1475,13,0
정촌면,선거일투표,5208,2773,1176,1537,2713,60,2435
금곡면,계,355,355,165,180,345,10,0
금곡면,관내사전투표,355,355,165,180,345,10,0
진성면,계,1510,1050,362,637,999,51,460
진성면,관내사전투표,393,392,181,199,380,12,1
진성면,선거일투표,1117,658,181,438,619,39,459
일반성면,계,2217,1618,598,964,1562,56,599
일반성면,관내사전투표,720,720,353,343,696,24,0
일반성면,선거일투표,1497,898,245,621,866,32,599
이반성면,계,1266,882,332,507,839,43,384
이반성면,관내사전투표,279,279,142,127,269,10,0
이반성면,선거일투표,987,603,190,380,570,33,384
사봉면,계,1123,758,264,466,730,28,365
사봉면,관내사전투표,298,297,129,157,286,11,1
사봉면,선거일투표,825,461,135,309,444,17,364
지수면,계,1132,751,294,407,701,50,381
지수면,관내사전투표,309,309,151,144,295,14,0
지수면,선거일투표,823,442,143,263,406,36,381
대곡면,계,562,562,243,291,534,28,0
대곡면,관내사전투표,562,562,243,291,534,28,0
금산면,계,11304,7735,3944,3647,7591,144,3569
금산면,관내사전투표,3219,3217,2098,1075,3173,44,2
금산면,선거일투표,8085,4518,1846,2572,4418,100,3567
집현면,계,3467,2133,782,1288,2070,63,1334
집현면,관내사전투표,857,857,416,418,834,23,0
집현면,선거일투표,2610,1276,366,870,1236,40,1334
미천면,계,1190,736,200,476,676,60,454
미천면,관내사전투표,269,269,95,159,254,15,0
미천면,선거일투표,921,467,105,317,422,45,454
명석면,계,835,835,357,449,806,29,0
명석면,관내사전투표,835,835,357,449,806,29,0
대평면,계,253,253,99,138,237,16,0
대평면,관내사전투표,253,253,99,138,237,16,0
수곡면,계,442,442,223,206,429,13,0
수곡면,관내사전투표,442,442,223,206,429,13,0
천전동,계,18313,11679,4689,6710,11399,280,6634
천전동,관내사전투표,3884,3881,2149,1680,3829,52,3
천전동,선거일투표,14429,7798,2540,5030,7570,228,6631
성북동,계,4545,2906,1001,1828,2829,77,1639
성북동,관내사전투표,1401,1401,614,751,1365,36,0
성북동,선거일투표,3144,1505,387,1077,1464,41,1639
중앙동,계,8528,5066,1462,3430,4892,174,3462
중앙동,관내사전투표,1150,1150,512,610,1122,28,0
중앙동,선거일투표,7378,3916,950,2820,3770,146,3462
상봉동,계,8223,5159,1706,3326,5032,127,3064
상봉동,관내사전투표,2063,2061,936,1087,2023,38,2
상봉동,선거일투표,6160,3098,770,2239,3009,89,3062
상대동,계,9845,6137,2441,3502,5943,194,3708
상대동,관내사전투표,2564,2562,1296,1194,2490,72,2
상대동,선거일투표,7281,3575,1145,2308,3453,122,3706
하대동,계,18435,11174,4530,6381,10911,263,7261
하대동,관내사전투표,3428,3426,1876,1496,3372,54,2
하대동,선거일투표,15007,7748,2654,4885,7539,209,7259
상평동,계,8745,5499,2170,3188,5358,141,3246
상평동,관내사전투표,1832,1832,1023,780,1803,29,0
상평동,선거일투표,6913,3667,1147,2408,3555,112,3246
초장동,계,19407,13200,6879,6063,12942,258,6207
초장동,관내사전투표,4026,4024,2556,1432,3988,36,2
초장동,선거일투표,15381,9176,4323,4631,8954,222,6205
평거동,계,7080,5659,3055,2501,5556,103,1421
평거동,관내사전투표,3683,3683,2206,1417,3623,60,0
평거동,선거일투표,3397,1976,849,1084,1933,43,1421
신안동,계,6982,4868,2006,2773,4779,89,2114
신안동,관내사전투표,1825,1825,981,816,1797,28,0
신안동,선거일투표,5157,3043,1025,1957,2982,61,2114
이현동,계,6364,4288,1740,2448,4188,100,2076
이현동,관내사전투표,1676,1675,857,786,1643,32,1
이현동,선거일투표,4688,2613,883,1662,2545,68,2075
판문동,계,12444,8567,4391,4000,8391,176,3877
판문동,관내사전투표,3161,3160,2035,1093,3128,32,1
판문동,선거일투표,9283,5407,2356,2907,5263,144,3876
가호동,계,18015,8935,4072,4653,8725,210,9080
가호동,선거일투표,18015,8935,4072,4653,8725,210,9080
충무공동,계,21653,14859,8839,5757,14596,263,6794
충무공동,관내사전투표,4767,4765,3534,1203,4737,28,2
충무공동,선거일투표,16886,10094,5305,4554,9859,235,6792
