읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 오중기,국민의힘 이철우,계,무효 투표수,기권자수
합계,,41616,30558,8008,21271,29279,1279,11058
거소투표,,134,124,27,90,117,7,10
관외사전투표,,3065,3062,1191,1805,2996,66,3
울진읍,계,10639,7653,2246,5194,7440,213,2986
울진읍,관내사전투표,3179,3177,1167,1897,3064,113,2
울진읍,선거일투표,7460,4476,1079,3297,4376,100,2984
평해읍,계,2290,1715,340,1258,1598,117,575
평해읍,관내사전투표,891,891,186,628,814,77,0
평해읍,선거일투표,1399,824,154,630,784,40,575
북면,계,5835,3951,1264,2547,3811,140,1884
북면,관내사전투표,1646,1645,629,941,1570,75,1
북면,선거일투표,4189,2306,635,1606,2241,65,1883
금강송면,계,1110,798,173,591,764,34,312
금강송면,관내사전투표,370,369,104,249,353,16,1
금강송면,선거일투표,740,429,69,342,411,18,311
근남면,계,2331,1698,423,1214,1637,61,633
근남면,관내사전투표,782,782,246,504,750,32,0
근남면,선거일투표,1549,916,177,710,887,29,633
매화면,계,1642,1223,240,912,1152,71,419
매화면,관내사전투표,567,567,129,398,527,40,0
매화면,선거일투표,1075,656,111,514,625,31,419
기성면,계,1968,1458,293,1042,1335,123,510
기성면,관내사전투표,739,739,157,490,647,92,0
기성면,선거일투표,1229,719,136,552,688,31,510
온정면,계,1365,1072,164,843,1007,65,293
온정면,관내사전투표,428,427,77,316,393,34,1
온정면,선거일투표,937,645,87,527,614,31,292
죽변면,계,5252,3444,768,2525,3293,151,1808
죽변면,관내사전투표,1509,1508,395,1030,1425,83,1
죽변면,선거일투표,3743,1936,373,1495,1868,68,1807
후포면,계,5985,4360,879,3250,4129,231,1625
후포면,관내사전투표,1752,1752,405,1241,1646,106,0
후포면,선거일투표,4233,2608,474,2009,2483,125,1625
