읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 허태정,국민의힘 이장우,개혁신당 강희린,계,무효 투표수,기권자수
합계,,51649,35064,19520,14335,773,34628,436,16585
복수동,계,3037,3032,2168,784,52,3004,28,5
복수동,관내사전투표,3037,3032,2168,784,52,3004,28,5
도마1동,계,2382,2382,1521,796,45,2362,20,0
도마1동,관내사전투표,2382,2382,1521,796,45,2362,20,0
도마2동,계,1906,1905,1274,574,40,1888,17,1
도마2동,관내사전투표,1906,1905,1274,574,40,1888,17,1
정림동,계,2554,2553,1751,734,31,2516,37,1
정림동,관내사전투표,2554,2553,1751,734,31,2516,37,1
탄방동,계,2329,2327,1605,637,54,2296,31,2
탄방동,관내사전투표,2329,2327,1605,637,54,2296,31,2
가장동,계,7131,3663,1459,2098,58,3615,48,3468
가장동,선거일투표,7131,3663,1459,2098,58,3615,48,3468
갈마1동,계,2371,2371,1560,738,40,2338,33,0
갈마1동,관내사전투표,2371,2371,1560,738,40,2338,33,0
월평1동,계,8625,3200,1303,1736,110,3149,51,5425
월평1동,선거일투표,8625,3200,1303,1736,110,3149,51,5425
월평2동,계,8754,4702,1797,2736,86,4619,83,4052
월평2동,선거일투표,8754,4702,1797,2736,86,4619,83,4052
만년동,계,7624,3997,1676,2140,152,3968,29,3627
만년동,선거일투표,7624,3997,1676,2140,152,3968,29,3627
가수원동,계,2149,2148,1452,632,39,2123,25,1
가수원동,관내사전투표,2149,2148,1452,632,39,2123,25,1
관저1동,계,2787,2784,1954,730,66,2750,34,3
관저1동,관내사전투표,2787,2784,1954,730,66,2750,34,3
