읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 민형배,국민의힘 이정현,진보당 이종욱,정의당 강은미,무소속 김광만,계,무효 투표수,기권자수
합계,,8651,8648,6889,643,224,321,148,8225,423,3
관외사전투표,,1725,1725,1360,183,50,71,28,1692,33,0
덕진면,계,627,627,504,48,16,23,11,602,25,0
덕진면,관내사전투표,627,627,504,48,16,23,11,602,25,0
금정면,계,839,839,660,65,21,29,22,797,42,0
금정면,관내사전투표,839,839,660,65,21,29,22,797,42,0
신북면,계,1382,1380,1127,68,39,44,15,1293,87,2
신북면,관내사전투표,1382,1380,1127,68,39,44,15,1293,87,2
도포면,계,621,620,494,45,13,18,18,588,32,1
도포면,관내사전투표,621,620,494,45,13,18,18,588,32,1
군서면,계,933,933,741,59,23,37,13,873,60,0
군서면,관내사전투표,933,933,741,59,23,37,13,873,60,0
서호면,계,610,610,483,46,18,16,9,572,38,0
서호면,관내사전투표,610,610,483,46,18,16,9,572,38,0
학산면,계,1374,1374,1075,100,33,62,22,1292,82,0
학산면,관내사전투표,1374,1374,1075,100,33,62,22,1292,82,0
미암면,계,540,540,445,29,11,21,10,516,24,0
미암면,관내사전투표,540,540,445,29,11,21,10,516,24,0
