읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 추미애,국민의힘 양향자,개혁신당 조응천,진보당 홍성규,국민연합 김현욱,계,무효 투표수,기권자수
합계,,40475,18941,10468,7268,582,151,141,18610,331,21534
성곡동,계,3105,1349,762,497,44,10,9,1322,27,1756
성곡동,선거일투표,3105,1349,762,497,44,10,9,1322,27,1756
원종1동,계,6121,2337,1168,1031,70,11,15,2295,42,3784
원종1동,선거일투표,6121,2337,1168,1031,70,11,15,2295,42,3784
원종2동,계,4781,3163,2052,938,88,21,19,3118,45,1618
원종2동,관내사전투표,1846,1846,1348,395,55,14,12,1824,22,0
원종2동,선거일투표,2935,1317,704,543,33,7,7,1294,23,1618
고강1동,계,2620,949,486,404,22,13,9,934,15,1671
고강1동,선거일투표,2620,949,486,404,22,13,9,934,15,1671
오정동,계,10101,4759,2342,2081,151,48,43,4665,94,5342
오정동,선거일투표,10101,4759,2342,2081,151,48,43,4665,94,5342
신흥동,계,13747,6384,3658,2317,207,48,46,6276,108,7363
신흥동,관내사전투표,1346,1346,1038,246,33,8,6,1331,15,0
신흥동,선거일투표,12401,5038,2620,2071,174,40,40,4945,93,7363
