읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 우상호,국민의힘 김진태,계,무효 투표수,기권자수
합계,,11274,8814,4389,4187,8576,238,2460
거소투표,,101,93,37,50,87,6,8
간성읍,계,5898,3920,1907,1938,3845,75,1978
간성읍,관내사전투표,1629,1629,997,603,1600,29,0
간성읍,선거일투표,4269,2291,910,1335,2245,46,1978
거진읍,계,932,929,491,403,894,35,3
거진읍,관내사전투표,932,929,491,403,894,35,3
현내면,계,1836,1365,516,790,1306,59,471
현내면,관내사전투표,404,404,222,161,383,21,0
현내면,선거일투표,1432,961,294,629,923,38,471
죽왕면,계,749,749,397,329,726,23,0
죽왕면,관내사전투표,749,749,397,329,726,23,0
토성면,계,1758,1758,1041,677,1718,40,0
토성면,관내사전투표,1758,1758,1041,677,1718,40,0
