읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 신용한,국민의힘 김영환,계,무효 투표수,기권자수
합계,,52711,30049,16238,13129,29367,682,22662
거소투표,,161,151,74,56,130,21,10
관외사전투표,,1744,1742,1149,554,1703,39,2
음성읍,계,5807,2711,1095,1552,2647,64,3096
음성읍,선거일투표,5807,2711,1095,1552,2647,64,3096
금왕읍,계,12785,7275,4145,2951,7096,179,5510
금왕읍,관내사전투표,3423,3419,2377,961,3338,81,4
금왕읍,선거일투표,9362,3856,1768,1990,3758,98,5506
대소읍,계,8249,4931,2985,1867,4852,79,3318
대소읍,관내사전투표,2924,2922,2128,759,2887,35,2
대소읍,선거일투표,5325,2009,857,1108,1965,44,3316
소이면,계,2547,1653,789,807,1596,57,894
소이면,관내사전투표,789,789,483,273,756,33,0
소이면,선거일투표,1758,864,306,534,840,24,894
원남면,계,1519,1147,573,540,1113,34,372
원남면,관내사전투표,717,716,411,278,689,27,1
원남면,선거일투표,802,431,162,262,424,7,371
맹동면,계,8696,4631,2824,1692,4516,115,4065
맹동면,관내사전투표,2308,2306,1720,518,2238,68,2
맹동면,선거일투표,6388,2325,1104,1174,2278,47,4063
삼성면,계,4217,1910,703,1180,1883,27,2307
삼성면,선거일투표,4217,1910,703,1180,1883,27,2307
생극면,계,892,467,165,297,462,5,425
생극면,선거일투표,892,467,165,297,462,5,425
감곡면,계,6094,3431,1736,1633,3369,62,2663
감곡면,관내사전투표,1567,1567,988,547,1535,32,0
감곡면,선거일투표,4527,1864,748,1086,1834,30,2663
