읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 이원택,국민의힘 양정무,진보당 백승재,무소속 김성수,무소속 김관영,계,무효 투표수,기권자수
합계,,12278,11486,5835,356,218,95,4816,11320,166,792
진북동,계,4259,3475,1749,97,57,32,1481,3416,59,784
진북동,관내사전투표,2724,2723,1368,68,47,24,1180,2687,36,1
진북동,선거일투표,1535,752,381,29,10,8,301,729,23,783
덕진동,계,2365,2363,1163,132,48,23,951,2317,46,2
덕진동,관내사전투표,2365,2363,1163,132,48,23,951,2317,46,2
우아1동,계,2201,2200,1113,46,38,14,960,2171,29,1
우아1동,관내사전투표,2201,2200,1113,46,38,14,960,2171,29,1
우아2동,계,2369,2367,1245,56,38,17,989,2345,22,2
우아2동,관내사전투표,2369,2367,1245,56,38,17,989,2345,22,2
송천1동,계,1084,1081,565,25,37,9,435,1071,10,3
송천1동,관내사전투표,1084,1081,565,25,37,9,435,1071,10,3
