읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 박찬대,국민의힘 유정복,개혁신당 이기붕,계,무효 투표수,기권자수
합계,,125213,96985,59539,35612,883,96034,951,28228
거소투표,,671,629,295,271,27,593,36,42
관외사전투표,,4266,4260,2611,1511,83,4205,55,6
구월1동,계,4792,4791,3181,1557,29,4767,24,1
구월1동,관내사전투표,4792,4791,3181,1557,29,4767,24,1
구월2동,계,5990,5973,4027,1847,46,5920,53,17
구월2동,관내사전투표,5990,5973,4027,1847,46,5920,53,17
구월3동,계,2336,2335,1629,665,27,2321,14,1
구월3동,관내사전투표,2336,2335,1629,665,27,2321,14,1
구월4동,계,1615,1612,1096,483,16,1595,17,3
구월4동,관내사전투표,1615,1612,1096,483,16,1595,17,3
간석1동,계,1827,1826,1202,591,13,1806,20,1
간석1동,관내사전투표,1827,1826,1202,591,13,1806,20,1
간석2동,계,1793,1791,1191,561,20,1772,19,2
간석2동,관내사전투표,1793,1791,1191,561,20,1772,19,2
간석3동,계,2640,2631,1853,736,24,2613,18,9
간석3동,관내사전투표,2640,2631,1853,736,24,2613,18,9
간석4동,계,22877,11495,5464,5765,105,11334,161,11382
간석4동,관내사전투표,2496,2492,1663,797,15,2475,17,4
간석4동,선거일투표,20381,9003,3801,4968,90,8859,144,11378
만수1동,계,2312,2308,1499,756,20,2275,33,4
만수1동,관내사전투표,2312,2308,1499,756,20,2275,33,4
만수2동,계,3683,3682,2630,995,27,3652,30,1
만수2동,관내사전투표,3683,3682,2630,995,27,3652,30,1
만수3동,계,2319,2315,1542,738,21,2301,14,4
만수3동,관내사전투표,2319,2315,1542,738,21,2301,14,4
만수4동,계,3453,3448,2236,1157,23,3416,32,5
만수4동,관내사전투표,3453,3448,2236,1157,23,3416,32,5
만수5동,계,1753,1747,1210,500,19,1729,18,6
만수5동,관내사전투표,1753,1747,1210,500,19,1729,18,6
만수6동,계,3181,3174,2238,882,21,3141,33,7
만수6동,관내사전투표,3181,3174,2238,882,21,3141,33,7
장수서창동,계,14946,8875,4344,4376,65,8785,90,6071
장수서창동,관내사전투표,2733,2727,1875,799,18,2692,35,6
장수서창동,선거일투표,12213,6148,2469,3577,47,6093,55,6065
서창2동,계,28340,17703,9892,7525,143,17560,143,10637
서창2동,관내사전투표,5192,5183,3817,1299,37,5153,30,9
서창2동,선거일투표,23148,12520,6075,6226,106,12407,113,10628
남촌도림동,계,2087,2084,1368,666,23,2057,27,3
남촌도림동,관내사전투표,2087,2084,1368,666,23,2057,27,3
논현1동,계,4343,4337,3032,1239,41,4312,25,6
논현1동,관내사전투표,4343,4337,3032,1239,41,4312,25,6
논현2동,계,3821,3812,2669,1073,35,3777,35,9
논현2동,관내사전투표,3821,3812,2669,1073,35,3777,35,9
논현고잔동,계,6168,6157,4330,1718,55,6103,54,11
논현고잔동,관내사전투표,6168,6157,4330,1718,55,6103,54,11
