읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 우상호,국민의힘 김진태,계,무효 투표수,기권자수
합계,,13584,13290,7369,5636,13005,285,294
관외사전투표,,2660,2657,1589,1022,2611,46,3
원덕읍,계,1046,1046,503,510,1013,33,0
원덕읍,관내사전투표,1046,1046,503,510,1013,33,0
근덕면,계,952,950,448,479,927,23,2
근덕면,관내사전투표,952,950,448,479,927,23,2
하장면,계,201,201,90,107,197,4,0
하장면,관내사전투표,201,201,90,107,197,4,0
노곡면,계,536,393,137,245,382,11,143
노곡면,관내사전투표,118,118,46,65,111,7,0
노곡면,선거일투표,418,275,91,180,271,4,143
미로면,계,580,580,266,287,553,27,0
미로면,관내사전투표,580,580,266,287,553,27,0
가곡면,계,166,166,80,79,159,7,0
가곡면,관내사전투표,166,166,80,79,159,7,0
신기면,계,577,431,181,240,421,10,146
신기면,관내사전투표,203,203,100,97,197,6,0
신기면,선거일투표,374,228,81,143,224,4,146
남양동,계,1426,1426,688,707,1395,31,0
남양동,관내사전투표,1426,1426,688,707,1395,31,0
성내동,계,2025,2025,1216,766,1982,43,0
성내동,관내사전투표,2025,2025,1216,766,1982,43,0
교동,계,2488,2488,1639,820,2459,29,0
교동,관내사전투표,2488,2488,1639,820,2459,29,0
정라동,계,927,927,532,374,906,21,0
정라동,관내사전투표,927,927,532,374,906,21,0
