읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 박수현,국민의힘 김태흠,계,무효 투표수,기권자수
합계,,22362,16529,9585,6697,16282,247,5833
관외사전투표,,2718,2717,1712,955,2667,50,1
두마면,계,10234,6485,3390,3024,6414,71,3749
두마면,관내사전투표,2039,2038,1426,584,2010,28,1
두마면,선거일투표,8195,4447,1964,2440,4404,43,3748
엄사면,계,2690,2689,1839,787,2626,63,1
엄사면,관내사전투표,2690,2689,1839,787,2626,63,1
신도안면,계,4889,2807,1394,1388,2782,25,2082
신도안면,관내사전투표,1286,1285,788,485,1273,12,1
신도안면,선거일투표,3603,1522,606,903,1509,13,2081
금암동,계,1831,1831,1250,543,1793,38,0
금암동,관내사전투표,1831,1831,1250,543,1793,38,0
