읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 추미애,국민의힘 양향자,개혁신당 조응천,진보당 홍성규,국민연합 김현욱,계,무효 투표수,기권자수
합계,,107852,63939,35934,23939,2697,404,228,63202,737,43913
거소투표,,430,415,182,150,25,14,17,388,27,15
중산1동,계,14392,8042,4338,3206,340,40,30,7954,88,6350
중산1동,관내사전투표,3345,3345,2374,791,123,15,10,3313,32,0
중산1동,선거일투표,11047,4697,1964,2415,217,25,20,4641,56,6350
중산2동,계,14328,8518,4943,3060,322,69,34,8428,90,5810
중산2동,관내사전투표,2826,2826,2086,598,88,25,5,2802,24,0
중산2동,선거일투표,11502,5692,2857,2462,234,44,29,5626,66,5810
정발산동,계,9847,6027,3469,2205,243,28,17,5962,65,3820
정발산동,관내사전투표,2587,2587,1919,553,85,9,3,2569,18,0
정발산동,선거일투표,7260,3440,1550,1652,158,19,14,3393,47,3820
풍산동,계,4254,4251,3194,850,131,31,18,4224,27,3
풍산동,관내사전투표,4254,4251,3194,850,131,31,18,4224,27,3
백석1동,계,12485,7480,4035,2908,368,52,27,7390,90,5005
백석1동,관내사전투표,3024,3023,2160,671,141,19,10,3001,22,1
백석1동,선거일투표,9461,4457,1875,2237,227,33,17,4389,68,5004
백석2동,계,10513,6031,3562,2080,253,42,17,5954,77,4482
백석2동,관내사전투표,2848,2848,2072,616,92,22,8,2810,38,0
백석2동,선거일투표,7665,3183,1490,1464,161,20,9,3144,39,4482
마두1동,계,13575,7889,4178,3189,354,48,19,7788,101,5686
마두1동,관내사전투표,1382,1382,1028,268,60,10,4,1370,12,0
마두1동,선거일투표,12193,6507,3150,2921,294,38,15,6418,89,5686
마두2동,계,4179,2069,894,992,139,11,7,2043,26,2110
마두2동,선거일투표,4179,2069,894,992,139,11,7,2043,26,2110
장항1동,계,2142,1489,848,553,56,5,4,1466,23,653
장항1동,관내사전투표,997,994,711,226,41,5,3,986,8,3
장항1동,선거일투표,1145,495,137,327,15,0,1,480,15,650
장항2동,계,13412,7142,3699,2977,346,41,18,7081,61,6270
장항2동,관내사전투표,2532,2532,1758,619,119,17,9,2522,10,0
장항2동,선거일투표,10880,4610,1941,2358,227,24,9,4559,51,6270
고봉동,계,6079,3643,2172,1308,83,15,16,3594,49,2436
고봉동,관내사전투표,1554,1554,1089,415,28,4,4,1540,14,0
고봉동,선거일투표,4525,2089,1083,893,55,11,12,2054,35,2436
일산2동,계,2216,943,420,461,37,8,4,930,13,1273
일산2동,선거일투표,2216,943,420,461,37,8,4,930,13,1273
