읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 추미애,국민의힘 양향자,개혁신당 조응천,진보당 홍성규,국민연합 김현욱,계,무효 투표수,기권자수
합계,,145906,80802,47232,28204,2825,663,572,79496,1306,65104
일동,계,6710,4515,3088,1192,115,30,26,4451,64,2195
일동,관내사전투표,3025,3025,2286,590,84,22,13,2995,30,0
일동,선거일투표,3685,1490,802,602,31,8,13,1456,34,2195
이동,계,4527,2748,1810,754,102,17,16,2699,49,1779
이동,관내사전투표,1980,1980,1442,421,68,14,8,1953,27,0
이동,선거일투표,2547,768,368,333,34,3,8,746,22,1779
사동,계,26167,13111,7459,4612,503,127,117,12818,293,13056
사동,관내사전투표,3776,3776,2723,785,149,38,19,3714,62,0
사동,선거일투표,22391,9335,4736,3827,354,89,98,9104,231,13056
사이동,계,21607,12025,6796,4434,440,106,95,11871,154,9582
사이동,관내사전투표,3531,3531,2575,756,120,26,19,3496,35,0
사이동,선거일투표,18076,8494,4221,3678,320,80,76,8375,119,9582
해양동,계,15233,8378,3903,3858,413,75,29,8278,100,6855
해양동,선거일투표,15233,8378,3903,3858,413,75,29,8278,100,6855
본오1동,계,19329,7097,3647,2913,241,75,65,6941,156,12232
본오1동,선거일투표,19329,7097,3647,2913,241,75,65,6941,156,12232
본오2동,계,5830,3400,2207,985,109,19,32,3352,48,2430
본오2동,관내사전투표,1950,1950,1482,375,54,7,13,1931,19,0
본오2동,선거일투표,3880,1450,725,610,55,12,19,1421,29,2430
본오3동,계,6076,3930,2493,1164,140,45,25,3867,63,2146
본오3동,관내사전투표,2773,2773,1951,639,99,34,18,2741,32,0
본오3동,선거일투표,3303,1157,542,525,41,11,7,1126,31,2146
부곡동,계,5610,3771,2558,1045,96,13,23,3735,36,1839
부곡동,관내사전투표,2561,2560,1880,581,63,7,12,2543,17,1
부곡동,선거일투표,3049,1211,678,464,33,6,11,1192,19,1838
월피동,계,19653,10482,6252,3572,331,76,84,10315,167,9171
월피동,관내사전투표,3317,3317,2466,684,80,19,21,3270,47,0
월피동,선거일투표,16336,7165,3786,2888,251,57,63,7045,120,9171
성포동,계,3698,3698,2537,954,118,30,18,3657,41,0
성포동,관내사전투표,3698,3698,2537,954,118,30,18,3657,41,0
반월동,계,4443,3814,2411,1162,126,29,20,3748,66,629
반월동,관내사전투표,2925,2925,2014,732,99,26,12,2883,42,0
반월동,선거일투표,1518,889,397,430,27,3,8,865,24,629
안산동,계,7023,3833,2071,1559,91,21,22,3764,69,3190
안산동,관내사전투표,1370,1370,911,388,34,8,8,1349,21,0
안산동,선거일투표,5653,2463,1160,1171,57,13,14,2415,48,3190
