읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 오중기,국민의힘 이철우,계,무효 투표수,기권자수
합계,,130499,87250,32448,53454,85902,1348,43249
관외사전투표,,11846,11841,5165,6481,11646,195,5
선산읍,계,1951,1951,562,1349,1911,40,0
선산읍,관내사전투표,1951,1951,562,1349,1911,40,0
고아읍,계,28675,15877,4372,11277,15649,228,12798
고아읍,관내사전투표,1853,1852,710,1103,1813,39,1
고아읍,선거일투표,26822,14025,3662,10174,13836,189,12797
산동읍,계,2932,2930,1811,1093,2904,26,2
산동읍,관내사전투표,2932,2930,1811,1093,2904,26,2
무을면,계,1537,1037,177,832,1009,28,500
무을면,관내사전투표,303,303,78,216,294,9,0
무을면,선거일투표,1234,734,99,616,715,19,500
옥성면,계,1386,934,127,788,915,19,452
옥성면,관내사전투표,277,277,53,220,273,4,0
옥성면,선거일투표,1109,657,74,568,642,15,452
도개면,계,1775,1080,161,891,1052,28,695
도개면,관내사전투표,311,310,77,223,300,10,1
도개면,선거일투표,1464,770,84,668,752,18,694
해평면,계,595,595,139,437,576,19,0
해평면,관내사전투표,595,595,139,437,576,19,0
장천면,계,2482,1599,323,1240,1563,36,883
장천면,관내사전투표,532,532,178,337,515,17,0
장천면,선거일투표,1950,1067,145,903,1048,19,883
송정동,계,18809,10220,2983,7099,10082,138,8589
송정동,관내사전투표,2643,2642,1079,1527,2606,36,1
송정동,선거일투표,16166,7578,1904,5572,7476,102,8588
원평동,계,8093,4177,1250,2839,4089,88,3916
원평동,관내사전투표,1364,1357,603,728,1331,26,7
원평동,선거일투표,6729,2820,647,2111,2758,62,3909
지산동,계,1618,1021,145,853,998,23,597
지산동,관내사전투표,246,246,54,182,236,10,0
지산동,선거일투표,1372,775,91,671,762,13,597
도량동,계,2313,2313,957,1328,2285,28,0
도량동,관내사전투표,2313,2313,957,1328,2285,28,0
선주원남동,계,3544,3541,1778,1723,3501,40,3
선주원남동,관내사전투표,3544,3541,1778,1723,3501,40,3
형곡1동,계,2423,2422,1040,1337,2377,45,1
형곡1동,관내사전투표,2423,2422,1040,1337,2377,45,1
형곡2동,계,1723,1723,652,1048,1700,23,0
형곡2동,관내사전투표,1723,1723,652,1048,1700,23,0
신평1동,계,4186,2296,673,1589,2262,34,1890
신평1동,관내사전투표,696,696,301,381,682,14,0
신평1동,선거일투표,3490,1600,372,1208,1580,20,1890
신평2동,계,2217,1202,296,886,1182,20,1015
신평2동,관내사전투표,341,341,129,208,337,4,0
신평2동,선거일투표,1876,861,167,678,845,16,1015
비산동,계,1830,1830,870,941,1811,19,0
비산동,관내사전투표,1830,1830,870,941,1811,19,0
공단동,계,3309,1727,658,1045,1703,24,1582
공단동,관내사전투표,603,603,303,289,592,11,0
공단동,선거일투표,2706,1124,355,756,1111,13,1582
광평동,계,562,562,254,304,558,4,0
광평동,관내사전투표,562,562,254,304,558,4,0
상모사곡동,계,2990,2990,1412,1539,2951,39,0
상모사곡동,관내사전투표,2990,2990,1412,1539,2951,39,0
임오동,계,1409,1408,679,706,1385,23,1
임오동,관내사전투표,1409,1408,679,706,1385,23,1
인동동,계,3123,3123,1623,1461,3084,39,0
인동동,관내사전투표,3123,3123,1623,1461,3084,39,0
진미동,계,15083,4763,1858,2808,4666,97,10320
진미동,관내사전투표,1861,1859,1032,785,1817,42,2
진미동,선거일투표,13222,2904,826,2023,2849,55,10318
양포동,계,4088,4088,2483,1560,4043,45,0
양포동,관내사전투표,4088,4088,2483,1560,4043,45,0
