읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 민형배,국민의힘 이정현,진보당 이종욱,정의당 강은미,무소속 김광만,계,무효 투표수,기권자수
합계,,19716,16774,12078,1615,724,696,754,15867,907,2942
거소투표,,157,148,86,15,12,10,5,128,20,9
관외사전투표,,1723,1723,1310,190,61,68,63,1692,31,0
강진읍,계,9494,6930,5036,722,285,307,317,6667,263,2564
강진읍,관내사전투표,4081,4078,3056,368,162,189,150,3925,153,3
강진읍,선거일투표,5413,2852,1980,354,123,118,167,2742,110,2561
군동면,계,1232,1230,863,101,59,51,66,1140,90,2
군동면,관내사전투표,1232,1230,863,101,59,51,66,1140,90,2
칠량면,계,828,828,588,80,37,32,24,761,67,0
칠량면,관내사전투표,828,828,588,80,37,32,24,761,67,0
대구면,계,467,467,312,53,34,16,25,440,27,0
대구면,관내사전투표,467,467,312,53,34,16,25,440,27,0
마량면,계,1436,1070,780,89,33,23,81,1006,64,366
마량면,관내사전투표,728,728,542,48,21,20,47,678,50,0
마량면,선거일투표,708,342,238,41,12,3,34,328,14,366
도암면,계,857,857,574,89,37,42,26,768,89,0
도암면,관내사전투표,857,857,574,89,37,42,26,768,89,0
신전면,계,733,733,543,49,25,42,20,679,54,0
신전면,관내사전투표,733,733,543,49,25,42,20,679,54,0
성전면,계,1222,1221,874,107,47,49,39,1116,105,1
성전면,관내사전투표,1222,1221,874,107,47,49,39,1116,105,1
작천면,계,688,688,502,64,37,22,32,657,31,0
작천면,관내사전투표,688,688,502,64,37,22,32,657,31,0
병영면,계,654,654,444,46,46,24,48,608,46,0
병영면,관내사전투표,654,654,444,46,46,24,48,608,46,0
옴천면,계,225,225,166,10,11,10,8,205,20,0
옴천면,관내사전투표,225,225,166,10,11,10,8,205,20,0
