읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 김경수,국민의힘 박완수,계,무효 투표수,기권자수
합계,,25287,21415,13011,8035,21046,369,3872
동면,계,4191,4190,3080,1078,4158,32,1
동면,관내사전투표,4191,4190,3080,1078,4158,32,1
원동면,계,2564,1623,510,1064,1574,49,941
원동면,관내사전투표,293,293,157,128,285,8,0
원동면,선거일투표,2271,1330,353,936,1289,41,941
상북면,계,2231,2229,1296,886,2182,47,2
상북면,관내사전투표,2231,2229,1296,886,2182,47,2
하북면,계,1267,1266,683,552,1235,31,1
하북면,관내사전투표,1267,1266,683,552,1235,31,1
중앙동,계,1628,1628,975,624,1599,29,0
중앙동,관내사전투표,1628,1628,975,624,1599,29,0
강서동,계,6811,3886,1954,1842,3796,90,2925
강서동,관내사전투표,1147,1143,779,344,1123,20,4
강서동,선거일투표,5664,2743,1175,1498,2673,70,2921
서창동,계,3306,3306,2217,1049,3266,40,0
서창동,관내사전투표,3306,3306,2217,1049,3266,40,0
평산동,계,3289,3287,2296,940,3236,51,2
평산동,관내사전투표,3289,3287,2296,940,3236,51,2
