읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 김경수,국민의힘 박완수,계,무효 투표수,기권자수
합계,,156947,102122,55948,44084,100032,2090,54825
거소투표,,582,543,195,250,445,98,39
관외사전투표,,8914,8907,5769,3018,8787,120,7
물금읍,계,8591,8588,6437,2058,8495,93,3
물금읍,관내사전투표,8591,8588,6437,2058,8495,93,3
동면,계,4191,4190,3080,1078,4158,32,1
동면,관내사전투표,4191,4190,3080,1078,4158,32,1
원동면,계,2564,1623,510,1064,1574,49,941
원동면,관내사전투표,293,293,157,128,285,8,0
원동면,선거일투표,2271,1330,353,936,1289,41,941
상북면,계,2231,2229,1296,886,2182,47,2
상북면,관내사전투표,2231,2229,1296,886,2182,47,2
하북면,계,1267,1266,683,552,1235,31,1
하북면,관내사전투표,1267,1266,683,552,1235,31,1
중앙동,계,1628,1628,975,624,1599,29,0
중앙동,관내사전투표,1628,1628,975,624,1599,29,0
양주동,계,24621,15482,8073,7095,15168,314,9139
양주동,관내사전투표,4599,4596,3189,1355,4544,52,3
양주동,선거일투표,20022,10886,4884,5740,10624,262,9136
삼성동,계,16869,9213,4315,4676,8991,222,7656
삼성동,관내사전투표,2645,2645,1679,937,2616,29,0
삼성동,선거일투표,14224,6568,2636,3739,6375,193,7656
강서동,계,6811,3886,1954,1842,3796,90,2925
강서동,관내사전투표,1147,1143,779,344,1123,20,4
강서동,선거일투표,5664,2743,1175,1498,2673,70,2921
서창동,계,21474,11959,6110,5608,11718,241,9515
서창동,관내사전투표,3306,3306,2217,1049,3266,40,0
서창동,선거일투표,18168,8653,3893,4559,8452,201,9515
소주동,계,16371,9223,4554,4441,8995,228,7148
소주동,관내사전투표,2624,2622,1733,840,2573,49,2
소주동,선거일투표,13747,6601,2821,3601,6422,179,7146
평산동,계,22835,12406,6108,6009,12117,289,10429
평산동,관내사전투표,3289,3287,2296,940,3236,51,2
평산동,선거일투표,19546,9119,3812,5069,8881,238,10427
덕계동,계,17998,10979,5889,4883,10772,207,7019
덕계동,관내사전투표,3714,3713,2524,1148,3672,41,1
덕계동,선거일투표,14284,7266,3365,3735,7100,166,7018
