읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 추미애,국민의힘 양향자,개혁신당 조응천,진보당 홍성규,국민연합 김현욱,계,무효 투표수,기권자수
합계,,50803,26493,11909,12854,1180,126,109,26178,315,24310
신갈동,계,6258,3674,1801,1599,182,27,12,3621,53,2584
신갈동,선거일투표,6258,3674,1801,1599,182,27,12,3621,53,2584
영덕1동,계,5570,2455,957,1312,127,8,15,2419,36,3115
영덕1동,선거일투표,5570,2455,957,1312,127,8,15,2419,36,3115
구갈동,계,1803,986,439,475,51,7,8,980,6,817
구갈동,선거일투표,1803,986,439,475,51,7,8,980,6,817
상갈동,계,5341,2753,1264,1301,124,13,14,2716,37,2588
상갈동,선거일투표,5341,2753,1264,1301,124,13,14,2716,37,2588
보라동,계,12677,6668,3147,3102,294,25,27,6595,73,6009
보라동,선거일투표,12677,6668,3147,3102,294,25,27,6595,73,6009
구성동,계,3278,1717,512,1107,73,3,4,1699,18,1561
구성동,선거일투표,3278,1717,512,1107,73,3,4,1699,18,1561
동백1동,계,6174,3247,1554,1501,125,14,16,3210,37,2927
동백1동,선거일투표,6174,3247,1554,1501,125,14,16,3210,37,2927
동백2동,계,2001,1145,590,488,47,3,5,1133,12,856
동백2동,선거일투표,2001,1145,590,488,47,3,5,1133,12,856
동백3동,계,1904,974,447,474,38,7,0,966,8,930
동백3동,선거일투표,1904,974,447,474,38,7,0,966,8,930
상하동,계,3456,1750,765,883,63,13,3,1727,23,1706
상하동,선거일투표,3456,1750,765,883,63,13,3,1727,23,1706
보정동,계,2341,1124,433,612,56,6,5,1112,12,1217
보정동,선거일투표,2341,1124,433,612,56,6,5,1112,12,1217
