읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 추미애,국민의힘 양향자,개혁신당 조응천,진보당 홍성규,국민연합 김현욱,계,무효 투표수,기권자수
합계,,71347,37043,16258,18406,1633,162,148,36607,436,34304
신갈동,계,8662,4667,2203,2123,225,33,18,4602,65,3995
신갈동,선거일투표,8662,4667,2203,2123,225,33,18,4602,65,3995
영덕1동,계,5570,2455,957,1312,127,8,15,2419,36,3115
영덕1동,선거일투표,5570,2455,957,1312,127,8,15,2419,36,3115
구갈동,계,1803,986,439,475,51,7,8,980,6,817
구갈동,선거일투표,1803,986,439,475,51,7,8,980,6,817
상갈동,계,5341,2753,1264,1301,124,13,14,2716,37,2588
상갈동,선거일투표,5341,2753,1264,1301,124,13,14,2716,37,2588
보라동,계,12677,6668,3147,3102,294,25,27,6595,73,6009
보라동,선거일투표,12677,6668,3147,3102,294,25,27,6595,73,6009
구성동,계,5127,2881,1135,1578,123,8,7,2851,30,2246
구성동,선거일투표,5127,2881,1135,1578,123,8,7,2851,30,2246
동백1동,계,6174,3247,1554,1501,125,14,16,3210,37,2927
동백1동,선거일투표,6174,3247,1554,1501,125,14,16,3210,37,2927
동백2동,계,2001,1145,590,488,47,3,5,1133,12,856
동백2동,선거일투표,2001,1145,590,488,47,3,5,1133,12,856
동백3동,계,5111,2632,1122,1371,101,12,6,2612,20,2479
동백3동,선거일투표,5111,2632,1122,1371,101,12,6,2612,20,2479
상하동,계,7485,3647,1532,1912,135,20,11,3610,37,3838
상하동,선거일투표,7485,3647,1532,1912,135,20,11,3610,37,3838
보정동,계,2341,1124,433,612,56,6,5,1112,12,1217
보정동,선거일투표,2341,1124,433,612,56,6,5,1112,12,1217
죽전2동,계,2837,1452,518,822,79,2,7,1428,24,1385
죽전2동,선거일투표,2837,1452,518,822,79,2,7,1428,24,1385
상현2동,계,6218,3386,1364,1809,146,11,9,3339,47,2832
상현2동,선거일투표,6218,3386,1364,1809,146,11,9,3339,47,2832
