읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 이원택,국민의힘 양정무,진보당 백승재,무소속 김성수,무소속 김관영,계,무효 투표수,기권자수
합계,,66274,45382,25484,1914,815,389,15337,43939,1443,20892
거소투표,,167,147,75,11,2,7,32,127,20,20
관외사전투표,,6984,6984,3868,307,130,66,2477,6848,136,0
운봉읍,계,2987,1932,1126,90,36,17,575,1844,88,1055
운봉읍,관내사전투표,1162,1162,699,30,16,7,360,1112,50,0
운봉읍,선거일투표,1825,770,427,60,20,10,215,732,38,1055
주천면,계,1889,1354,650,62,33,15,521,1281,73,535
주천면,관내사전투표,833,833,387,30,19,7,339,782,51,0
주천면,선거일투표,1056,521,263,32,14,8,182,499,22,535
수지면,계,829,534,297,28,11,8,162,506,28,295
수지면,관내사전투표,275,275,155,7,6,4,88,260,15,0
수지면,선거일투표,554,259,142,21,5,4,74,246,13,295
송동면,계,1468,977,608,44,14,12,249,927,50,491
송동면,관내사전투표,484,484,291,18,7,4,143,463,21,0
송동면,선거일투표,984,493,317,26,7,8,106,464,29,491
주생면,계,1356,915,497,46,26,10,289,868,47,441
주생면,관내사전투표,552,552,301,20,9,4,183,517,35,0
주생면,선거일투표,804,363,196,26,17,6,106,351,12,441
금지면,계,1758,1223,749,65,23,11,325,1173,50,535
금지면,관내사전투표,626,626,383,30,12,5,162,592,34,0
금지면,선거일투표,1132,597,366,35,11,6,163,581,16,535
대강면,계,1189,750,427,54,12,3,204,700,50,439
대강면,관내사전투표,376,376,211,20,5,3,116,355,21,0
대강면,선거일투표,813,374,216,34,7,0,88,345,29,439
대산면,계,1152,820,459,39,10,17,227,752,68,332
대산면,관내사전투표,524,524,303,21,5,12,129,470,54,0
대산면,선거일투표,628,296,156,18,5,5,98,282,14,332
사매면,계,1139,765,404,39,9,7,277,736,29,374
사매면,관내사전투표,446,446,245,19,5,4,159,432,14,0
사매면,선거일투표,693,319,159,20,4,3,118,304,15,374
덕과면,계,673,453,229,25,14,2,162,432,21,220
덕과면,관내사전투표,248,248,134,12,7,1,82,236,12,0
덕과면,선거일투표,425,205,95,13,7,1,80,196,9,220
보절면,계,1085,723,355,32,16,9,282,694,29,362
보절면,관내사전투표,413,413,212,15,6,4,162,399,14,0
보절면,선거일투표,672,310,143,17,10,5,120,295,15,362
산동면,계,1303,949,493,36,22,16,321,888,61,354
산동면,관내사전투표,621,621,327,20,15,10,206,578,43,0
산동면,선거일투표,682,328,166,16,7,6,115,310,18,354
이백면,계,1620,1176,674,50,16,9,368,1117,59,444
이백면,관내사전투표,758,758,441,28,7,7,232,715,43,0
이백면,선거일투표,862,418,233,22,9,2,136,402,16,444
인월면,계,2376,1521,897,87,30,6,458,1478,43,855
인월면,관내사전투표,879,879,528,38,15,2,272,855,24,0
인월면,선거일투표,1497,642,369,49,15,4,186,623,19,855
아영면,계,1522,948,549,36,17,9,305,916,32,574
아영면,관내사전투표,536,536,319,15,11,4,170,519,17,0
아영면,선거일투표,986,412,230,21,6,5,135,397,15,574
산내면,계,1620,1046,606,50,71,5,276,1008,38,574
산내면,관내사전투표,502,502,302,18,33,2,132,487,15,0
산내면,선거일투표,1118,544,304,32,38,3,144,521,23,574
동충동,계,2388,1507,819,51,27,10,569,1476,31,881
동충동,관내사전투표,932,932,514,21,11,9,361,916,16,0
동충동,선거일투표,1456,575,305,30,16,1,208,560,15,881
죽항동,계,2447,1527,822,64,26,14,552,1478,49,920
죽항동,관내사전투표,1004,1003,550,32,17,9,368,976,27,1
죽항동,선거일투표,1443,524,272,32,9,5,184,502,22,919
노암동,계,4436,2756,1591,115,34,22,929,2691,65,1680
노암동,관내사전투표,1456,1456,867,37,13,10,494,1421,35,0
노암동,선거일투표,2980,1300,724,78,21,12,435,1270,30,1680
금동,계,4618,3017,1736,132,41,31,977,2917,100,1601
금동,관내사전투표,1810,1810,1064,52,19,20,597,1752,58,0
금동,선거일투표,2808,1207,672,80,22,11,380,1165,42,1601
왕정동,계,4116,2598,1517,116,39,10,838,2520,78,1518
왕정동,관내사전투표,1540,1540,895,56,14,5,524,1494,46,0
왕정동,선거일투표,2576,1058,622,60,25,5,314,1026,32,1518
향교동,계,5377,3330,1866,108,64,20,1189,3247,83,2047
향교동,관내사전투표,2020,2018,1137,52,29,7,753,1978,40,2
향교동,선거일투표,3357,1312,729,56,35,13,436,1269,43,2045
도통동,계,11775,7428,4168,227,92,53,2773,7313,115,4347
도통동,관내사전투표,4374,4373,2473,93,45,24,1674,4309,64,1
도통동,선거일투표,7401,3055,1695,134,47,29,1099,3004,51,4346
잘못 투입·구분된 투표지,,0,2,2,0,0,0,0,2,0,-2
