읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 민형배,국민의힘 이정현,진보당 이종욱,정의당 강은미,무소속 김광만,계,무효 투표수,기권자수
합계,,7907,6616,4407,1393,199,166,110,6275,341,1291
거소투표,,61,58,36,13,0,2,2,53,5,3
곡성읍,계,1337,647,408,177,12,14,9,620,27,690
곡성읍,선거일투표,1337,647,408,177,12,14,9,620,27,690
오곡면,계,657,657,439,133,19,16,15,622,35,0
오곡면,관내사전투표,657,657,439,133,19,16,15,622,35,0
삼기면,계,609,608,407,116,20,20,11,574,34,1
삼기면,관내사전투표,609,608,407,116,20,20,11,574,34,1
석곡면,계,912,912,573,177,45,32,26,853,59,0
석곡면,관내사전투표,912,912,573,177,45,32,26,853,59,0
목사동면,계,1055,715,393,243,38,9,8,691,24,340
목사동면,관내사전투표,511,511,301,155,22,7,6,491,20,0
목사동면,선거일투표,544,204,92,88,16,2,2,200,4,340
죽곡면,계,736,736,492,150,14,14,6,676,60,0
죽곡면,관내사전투표,736,736,492,150,14,14,6,676,60,0
고달면,계,922,665,467,121,17,13,17,635,30,257
고달면,관내사전투표,351,351,259,56,5,5,8,333,18,0
고달면,선거일투표,571,314,208,65,12,8,9,302,12,257
옥과면,계,1618,1618,1192,263,34,46,16,1551,67,0
옥과면,관내사전투표,1618,1618,1192,263,34,46,16,1551,67,0
