읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 정원오,국민의힘 오세훈,개혁신당 김정철,여성의당 유지혜,정의당 권영국,계,무효 투표수,기권자수
합계,,37427,37418,25207,11008,239,234,458,37146,272,9
관외사전투표,,3312,3312,2118,1078,31,22,35,3284,28,0
돈암제1동,계,2104,2104,1400,629,9,14,34,2086,18,0
돈암제1동,관내사전투표,2104,2104,1400,629,9,14,34,2086,18,0
돈암제2동,계,2761,2760,1890,770,18,22,45,2745,15,1
돈암제2동,관내사전투표,2761,2760,1890,770,18,22,45,2745,15,1
안암동,계,2508,2505,1644,725,33,34,47,2483,22,3
안암동,관내사전투표,2508,2505,1644,725,33,34,47,2483,22,3
보문동,계,2493,2493,1620,773,24,17,38,2472,21,0
보문동,관내사전투표,2493,2493,1620,773,24,17,38,2472,21,0
길음제1동,계,4629,4627,3205,1315,29,12,41,4602,25,2
길음제1동,관내사전투표,4629,4627,3205,1315,29,12,41,4602,25,2
길음제2동,계,2970,2970,1999,891,18,14,36,2958,12,0
길음제2동,관내사전투표,2970,2970,1999,891,18,14,36,2958,12,0
종암동,계,5740,5738,3961,1595,36,34,72,5698,40,2
종암동,관내사전투표,5740,5738,3961,1595,36,34,72,5698,40,2
장위제1동,계,3176,3175,2181,897,10,20,36,3144,31,1
장위제1동,관내사전투표,3176,3175,2181,897,10,20,36,3144,31,1
장위제2동,계,1615,1615,1072,497,7,7,10,1593,22,0
장위제2동,관내사전투표,1615,1615,1072,497,7,7,10,1593,22,0
장위제3동,계,2330,2330,1527,751,8,9,25,2320,10,0
장위제3동,관내사전투표,2330,2330,1527,751,8,9,25,2320,10,0
석관동,계,3789,3789,2590,1087,16,29,39,3761,28,0
석관동,관내사전투표,3789,3789,2590,1087,16,29,39,3761,28,0
