읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 김경수,국민의힘 박완수,계,무효 투표수,기권자수
합계,,135397,82471,46706,34044,80750,1721,52926
일운면,계,6533,4019,2034,1883,3917,102,2514
일운면,관내사전투표,1733,1733,1131,563,1694,39,0
일운면,선거일투표,4800,2286,903,1320,2223,63,2514
동부면,계,2411,1647,596,997,1593,54,764
동부면,관내사전투표,689,689,347,326,673,16,0
동부면,선거일투표,1722,958,249,671,920,38,764
남부면,계,1187,764,256,484,740,24,423
남부면,관내사전투표,246,246,107,135,242,4,0
남부면,선거일투표,941,518,149,349,498,20,423
거제면,계,5841,3595,1508,1983,3491,104,2246
거제면,관내사전투표,1422,1422,818,570,1388,34,0
거제면,선거일투표,4419,2173,690,1413,2103,70,2246
둔덕면,계,2315,1520,486,982,1468,52,795
둔덕면,관내사전투표,613,613,296,298,594,19,0
둔덕면,선거일투표,1702,907,190,684,874,33,795
사등면,계,7434,4287,1903,2289,4192,95,3147
사등면,관내사전투표,1451,1451,904,521,1425,26,0
사등면,선거일투표,5983,2836,999,1768,2767,69,3147
연초면,계,5074,2704,1415,1246,2661,43,2370
연초면,관내사전투표,1280,1280,840,428,1268,12,0
연초면,선거일투표,3794,1424,575,818,1393,31,2370
하청면,계,3420,2144,780,1312,2092,52,1276
하청면,관내사전투표,787,787,438,332,770,17,0
하청면,선거일투표,2633,1357,342,980,1322,35,1276
장목면,계,2477,1597,493,1059,1552,45,880
장목면,관내사전투표,602,602,293,298,591,11,0
장목면,선거일투표,1875,995,200,761,961,34,880
장승포동,계,2820,1883,1221,631,1852,31,937
장승포동,관내사전투표,1242,1242,877,353,1230,12,0
장승포동,선거일투표,1578,641,344,278,622,19,937
능포동,계,6838,3959,2211,1665,3876,83,2879
능포동,관내사전투표,1574,1574,1171,384,1555,19,0
능포동,선거일투표,5264,2385,1040,1281,2321,64,2879
아주동,계,15719,8811,6106,2541,8647,164,6908
아주동,관내사전투표,3155,3155,2596,524,3120,35,0
아주동,선거일투표,12564,5656,3510,2017,5527,129,6908
옥포1동,계,1834,1834,1343,471,1814,20,0
옥포1동,관내사전투표,1834,1834,1343,471,1814,20,0
옥포2동,계,16595,9405,5503,3694,9197,208,7190
옥포2동,관내사전투표,3467,3467,2559,872,3431,36,0
옥포2동,선거일투표,13128,5938,2944,2822,5766,172,7190
장평동,계,10861,6545,3924,2510,6434,111,4316
장평동,관내사전투표,3782,3780,2686,1048,3734,46,2
장평동,선거일투표,7079,2765,1238,1462,2700,65,4314
고현동,계,18341,10602,5554,4802,10356,246,7739
고현동,관내사전투표,3319,3319,2252,1025,3277,42,0
고현동,선거일투표,15022,7283,3302,3777,7079,204,7739
상문동,계,18765,11409,7336,3882,11218,191,7356
상문동,관내사전투표,4751,4749,3698,1008,4706,43,2
상문동,선거일투표,14014,6660,3638,2874,6512,148,7354
수양동,계,6932,5746,4037,1613,5650,96,1186
수양동,관내사전투표,4385,4385,3376,954,4330,55,0
수양동,선거일투표,2547,1361,661,659,1320,41,1186
