읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 김부겸,국민의힘 추경호,개혁신당 이수찬,계,무효 투표수,기권자수
합계,,15423,15418,10088,5069,156,15313,105,5
범어1동,계,1650,1648,1103,527,11,1641,7,2
범어1동,관내사전투표,1650,1648,1103,527,11,1641,7,2
범어2동,계,872,872,523,337,6,866,6,0
범어2동,관내사전투표,872,872,523,337,6,866,6,0
만촌1동,계,2403,2401,1530,826,28,2384,17,2
만촌1동,관내사전투표,2403,2401,1530,826,28,2384,17,2
만촌2동,계,1485,1485,972,490,11,1473,12,0
만촌2동,관내사전투표,1485,1485,972,490,11,1473,12,0
만촌3동,계,2279,2279,1587,655,27,2269,10,0
만촌3동,관내사전투표,2279,2279,1587,655,27,2269,10,0
수성1가동,계,2257,2257,1405,799,26,2230,27,0
수성1가동,관내사전투표,2257,2257,1405,799,26,2230,27,0
수성4가동,계,2026,2026,1254,723,29,2006,20,0
수성4가동,관내사전투표,2026,2026,1254,723,29,2006,20,0
황금1동,계,2451,2450,1714,712,18,2444,6,1
황금1동,관내사전투표,2451,2450,1714,712,18,2444,6,1
