읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 박수현,국민의힘 김태흠,계,무효 투표수,기권자수
합계,,36218,33123,20887,11557,32444,679,3095
관외사전투표,,5232,5230,3217,1921,5138,92,2
당진1동,계,3447,3442,2359,1027,3386,56,5
당진1동,관내사전투표,3447,3442,2359,1027,3386,56,5
당진2동,계,2410,2410,1727,630,2357,53,0
당진2동,관내사전투표,2410,2410,1727,630,2357,53,0
당진3동,계,3672,3665,2628,976,3604,61,7
당진3동,관내사전투표,3672,3665,2628,976,3604,61,7
합덕읍,계,1496,1493,829,601,1430,63,3
합덕읍,관내사전투표,1496,1493,829,601,1430,63,3
송악읍,계,3856,3852,2885,923,3808,44,4
송악읍,관내사전투표,3856,3852,2885,923,3808,44,4
고대면,계,1468,1467,890,540,1430,37,1
고대면,관내사전투표,1468,1467,890,540,1430,37,1
석문면,계,1454,1454,942,481,1423,31,0
석문면,관내사전투표,1454,1454,942,481,1423,31,0
대호지면,계,336,336,169,153,322,14,0
대호지면,관내사전투표,336,336,169,153,322,14,0
정미면,계,3049,1780,689,1049,1738,42,1269
정미면,관내사전투표,629,627,341,269,610,17,2
정미면,선거일투표,2420,1153,348,780,1128,25,1267
면천면,계,632,632,346,275,621,11,0
면천면,관내사전투표,632,632,346,275,621,11,0
순성면,계,664,664,399,235,634,30,0
순성면,관내사전투표,664,664,399,235,634,30,0
우강면,계,4419,2620,1141,1428,2569,51,1799
우강면,관내사전투표,825,824,473,331,804,20,1
우강면,선거일투표,3594,1796,668,1097,1765,31,1798
신평면,계,2331,2331,1518,763,2281,50,0
신평면,관내사전투표,2331,2331,1518,763,2281,50,0
송산면,계,1752,1747,1148,555,1703,44,5
송산면,관내사전투표,1752,1747,1148,555,1703,44,5
