읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 추미애,국민의힘 양향자,개혁신당 조응천,진보당 홍성규,국민연합 김현욱,계,무효 투표수,기권자수
합계,,102653,68606,40366,23928,2592,407,332,67625,981,34047
관외사전투표,,4693,4692,3250,1122,196,46,20,4634,58,1
군포1동,계,16401,9126,4879,3638,356,49,43,8965,161,7275
군포1동,관내사전투표,2688,2688,1852,700,80,10,7,2649,39,0
군포1동,선거일투표,13713,6438,3027,2938,276,39,36,6316,122,7275
군포2동,계,18500,12304,7222,4349,417,65,68,12121,183,6196
군포2동,관내사전투표,5853,5852,4243,1318,184,36,22,5803,49,1
군포2동,선거일투표,12647,6452,2979,3031,233,29,46,6318,134,6195
산본1동,계,4358,3034,1804,1037,100,21,21,2983,51,1324
산본1동,관내사전투표,2018,2018,1393,506,62,14,15,1990,28,0
산본1동,선거일투표,2340,1016,411,531,38,7,6,993,23,1324
산본2동,계,4417,2283,991,1146,88,9,17,2251,32,2134
산본2동,선거일투표,4417,2283,991,1146,88,9,17,2251,32,2134
금정동,계,5724,3755,2311,1212,114,30,23,3690,65,1969
금정동,관내사전투표,2293,2293,1641,534,69,20,4,2268,25,0
금정동,선거일투표,3431,1462,670,678,45,10,19,1422,40,1969
재궁동,계,7738,5081,2966,1792,188,32,23,5001,80,2657
재궁동,관내사전투표,2672,2672,1901,620,103,13,11,2648,24,0
재궁동,선거일투표,5066,2409,1065,1172,85,19,12,2353,56,2657
오금동,계,10231,6975,4229,2283,288,40,30,6870,105,3256
오금동,관내사전투표,3076,3076,2213,666,130,20,10,3039,37,0
오금동,선거일투표,7155,3899,2016,1617,158,20,20,3831,68,3256
수리동,계,8375,5453,3029,2072,232,33,19,5385,68,2922
수리동,관내사전투표,2043,2039,1516,417,78,7,3,2021,18,4
수리동,선거일투표,6332,3414,1513,1655,154,26,16,3364,50,2918
궁내동,계,7562,4426,2152,1966,206,21,17,4362,64,3136
궁내동,선거일투표,7562,4426,2152,1966,206,21,17,4362,64,3136
광정동,계,10083,6906,4067,2400,286,38,34,6825,81,3177
광정동,관내사전투표,3165,3165,2352,632,127,17,11,3139,26,0
광정동,선거일투표,6918,3741,1715,1768,159,21,23,3686,55,3177
대야동,계,2002,2002,1482,432,52,14,9,1989,13,0
대야동,관내사전투표,2002,2002,1482,432,52,14,9,1989,13,0
송부동,계,2569,2569,1984,479,69,9,8,2549,20,0
송부동,관내사전투표,2569,2569,1984,479,69,9,8,2549,20,0
