읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 민형배,국민의힘 이정현,진보당 이종욱,정의당 강은미,무소속 김광만,계,무효 투표수,기권자수
합계,,30322,20130,14820,3387,453,428,479,19567,563,10192
거소투표,,218,201,146,34,7,6,5,198,3,17
광양읍,계,2800,1505,1193,188,35,45,30,1491,14,1295
광양읍,선거일투표,2800,1505,1193,188,35,45,30,1491,14,1295
봉강면,계,538,538,412,76,11,7,13,519,19,0
봉강면,관내사전투표,538,538,412,76,11,7,13,519,19,0
옥룡면,계,1041,1038,829,117,14,12,17,989,49,3
옥룡면,관내사전투표,1041,1038,829,117,14,12,17,989,49,3
옥곡면,계,1094,1094,850,110,34,24,15,1033,61,0
옥곡면,관내사전투표,1094,1094,850,110,34,24,15,1033,61,0
진상면,계,835,834,654,85,21,23,9,792,42,1
진상면,관내사전투표,835,834,654,85,21,23,9,792,42,1
진월면,계,668,668,481,72,29,20,20,622,46,0
진월면,관내사전투표,668,668,481,72,29,20,20,622,46,0
다압면,계,515,515,369,73,17,15,14,488,27,0
다압면,관내사전투표,515,515,369,73,17,15,14,488,27,0
골약동,계,2416,2416,1840,394,40,48,55,2377,39,0
골약동,관내사전투표,2416,2416,1840,394,40,48,55,2377,39,0
중마동,계,11286,4545,3203,950,99,68,137,4457,88,6741
중마동,선거일투표,11286,4545,3203,950,99,68,137,4457,88,6741
광영동,계,2386,2386,1854,300,65,47,50,2316,70,0
광영동,관내사전투표,2386,2386,1854,300,65,47,50,2316,70,0
태인동,계,1182,768,581,90,26,19,14,730,38,414
태인동,관내사전투표,505,505,395,38,18,12,11,474,31,0
태인동,선거일투표,677,263,186,52,8,7,3,256,7,414
금호동,계,5343,3622,2408,898,55,94,100,3555,67,1721
금호동,관내사전투표,2260,2260,1613,487,31,43,48,2222,38,0
금호동,선거일투표,3083,1362,795,411,24,51,52,1333,29,1721
