읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 추미애,국민의힘 양향자,개혁신당 조응천,진보당 홍성규,국민연합 김현욱,계,무효 투표수,기권자수
합계,,163993,87384,47299,34729,2689,579,668,85964,1420,76609
관외사전투표,,9273,9271,6024,2589,382,82,58,9135,136,2
백석읍,계,21637,11512,5805,5064,297,64,81,11311,201,10125
백석읍,관내사전투표,3363,3363,2268,923,90,18,16,3315,48,0
백석읍,선거일투표,18274,8149,3537,4141,207,46,65,7996,153,10125
은현면,계,3119,1933,822,969,52,19,21,1883,50,1186
은현면,관내사전투표,853,853,491,302,27,11,8,839,14,0
은현면,선거일투표,2266,1080,331,667,25,8,13,1044,36,1186
남면,계,5070,2773,1111,1472,73,18,31,2705,68,2297
남면,관내사전투표,887,887,484,336,28,8,10,866,21,0
남면,선거일투표,4183,1886,627,1136,45,10,21,1839,47,2297
광적면,계,9332,5169,2468,2363,133,31,53,5048,121,4163
광적면,관내사전투표,2507,2507,1501,862,50,18,23,2454,53,0
광적면,선거일투표,6825,2662,967,1501,83,13,30,2594,68,4163
장흥면,계,9587,3958,1474,2237,130,21,30,3892,66,5629
장흥면,선거일투표,9587,3958,1474,2237,130,21,30,3892,66,5629
양주1동,계,4113,2395,1079,1169,60,21,12,2341,54,1718
양주1동,관내사전투표,688,688,415,225,27,7,4,678,10,0
양주1동,선거일투표,3425,1707,664,944,33,14,8,1663,44,1718
양주2동,계,33839,18185,10627,6556,575,96,119,17973,212,15654
양주2동,관내사전투표,5604,5604,4105,1216,162,34,31,5548,56,0
양주2동,선거일투표,28235,12581,6522,5340,413,62,88,12425,156,15654
회천1동,계,4861,2928,1574,1156,97,20,24,2871,57,1933
회천1동,관내사전투표,1547,1547,1033,429,47,11,8,1528,19,0
회천1동,선거일투표,3314,1381,541,727,50,9,16,1343,38,1933
회천2동,계,18926,7423,3663,3234,214,60,71,7242,181,11503
회천2동,선거일투표,18926,7423,3663,3234,214,60,71,7242,181,11503
회천3동,계,9410,5924,3658,1908,178,46,47,5837,87,3486
회천3동,관내사전투표,3714,3714,2600,917,111,27,25,3680,34,0
회천3동,선거일투표,5696,2210,1058,991,67,19,22,2157,53,3486
옥정1동,계,14218,6397,3634,2405,183,48,49,6319,78,7821
옥정1동,선거일투표,14218,6397,3634,2405,183,48,49,6319,78,7821
옥정2동,계,20608,9516,5360,3607,315,53,72,9407,109,11092
옥정2동,선거일투표,20608,9516,5360,3607,315,53,72,9407,109,11092
