읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 추미애,국민의힘 양향자,개혁신당 조응천,진보당 홍성규,국민연합 김현욱,계,무효 투표수,기권자수
합계,,110017,57998,30528,23985,1720,371,430,57034,964,52019
관외사전투표,,4854,4854,3199,1335,180,44,26,4784,70,0
백석읍,계,18430,10356,5401,4391,257,56,74,10179,177,8074
백석읍,관내사전투표,3363,3363,2268,923,90,18,16,3315,48,0
백석읍,선거일투표,15067,6993,3133,3468,167,38,58,6864,129,8074
은현면,계,3119,1933,822,969,52,19,21,1883,50,1186
은현면,관내사전투표,853,853,491,302,27,11,8,839,14,0
은현면,선거일투표,2266,1080,331,667,25,8,13,1044,36,1186
남면,계,5070,2773,1111,1472,73,18,31,2705,68,2297
남면,관내사전투표,887,887,484,336,28,8,10,866,21,0
남면,선거일투표,4183,1886,627,1136,45,10,21,1839,47,2297
광적면,계,6825,2662,967,1501,83,13,30,2594,68,4163
광적면,선거일투표,6825,2662,967,1501,83,13,30,2594,68,4163
장흥면,계,9587,3958,1474,2237,130,21,30,3892,66,5629
장흥면,선거일투표,9587,3958,1474,2237,130,21,30,3892,66,5629
양주1동,계,4113,2395,1079,1169,60,21,12,2341,54,1718
양주1동,관내사전투표,688,688,415,225,27,7,4,678,10,0
양주1동,선거일투표,3425,1707,664,944,33,14,8,1663,44,1718
양주2동,계,31098,17011,10060,6029,530,93,111,16823,188,14087
양주2동,관내사전투표,5604,5604,4105,1216,162,34,31,5548,56,0
양주2동,선거일투표,25494,11407,5955,4813,368,59,80,11275,132,14087
회천1동,계,794,354,93,216,20,2,5,336,18,440
회천1동,선거일투표,794,354,93,216,20,2,5,336,18,440
회천2동,계,9909,3907,1982,1649,114,30,34,3809,98,6002
회천2동,선거일투표,9909,3907,1982,1649,114,30,34,3809,98,6002
회천3동,계,5696,2210,1058,991,67,19,22,2157,53,3486
회천3동,선거일투표,5696,2210,1058,991,67,19,22,2157,53,3486
옥정1동,계,5128,2716,1649,947,63,17,15,2691,25,2412
옥정1동,선거일투표,5128,2716,1649,947,63,17,15,2691,25,2412
옥정2동,계,5394,2869,1633,1079,91,18,19,2840,29,2525
옥정2동,선거일투표,5394,2869,1633,1079,91,18,19,2840,29,2525
