읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 추미애,국민의힘 양향자,개혁신당 조응천,진보당 홍성규,국민연합 김현욱,계,무효 투표수,기권자수
합계,,223354,124092,70301,45727,4221,935,763,121947,2145,99262
거소투표,,350,326,138,149,16,4,5,312,14,24
관외사전투표,,10184,10184,6634,2800,416,116,65,10031,153,0
와동,계,29861,12956,7738,4381,376,87,68,12650,306,16905
와동,관내사전투표,3321,3321,2493,682,72,19,7,3273,48,0
와동,선거일투표,26540,9635,5245,3699,304,68,61,9377,258,16905
고잔동,계,16949,8763,4894,3264,305,64,77,8604,159,8186
고잔동,관내사전투표,2633,2633,1817,655,92,24,12,2600,33,0
고잔동,선거일투표,14316,6130,3077,2609,213,40,65,6004,126,8186
중앙동,계,20197,10713,5673,4343,400,63,66,10545,168,9484
중앙동,관내사전투표,3797,3797,2570,1023,115,25,19,3752,45,0
중앙동,선거일투표,16400,6916,3103,3320,285,38,47,6793,123,9484
호수동,계,33420,20656,11307,8107,774,119,109,20416,240,12764
호수동,관내사전투표,4664,4664,3339,1100,130,26,19,4614,50,0
호수동,선거일투표,28756,15992,7968,7007,644,93,90,15802,190,12764
원곡동,계,7502,2159,1203,797,41,14,16,2071,88,5343
원곡동,관내사전투표,764,764,528,179,14,5,4,730,34,0
원곡동,선거일투표,6738,1395,675,618,27,9,12,1341,54,5343
백운동,계,20612,11394,6193,4452,375,107,69,11196,198,9218
백운동,관내사전투표,3984,3984,2734,1041,113,29,12,3929,55,0
백운동,선거일투표,16628,7410,3459,3411,262,78,57,7267,143,9218
신길동,계,17837,9401,5378,3452,264,79,59,9232,169,8436
신길동,관내사전투표,2622,2622,1924,556,69,24,13,2586,36,0
신길동,선거일투표,15215,6779,3454,2896,195,55,46,6646,133,8436
초지동,계,32868,18297,10115,6966,697,119,112,18009,288,14571
초지동,관내사전투표,5446,5446,3886,1253,189,37,21,5386,60,0
초지동,선거일투표,27422,12851,6229,5713,508,82,91,12623,228,14571
선부1동,계,14640,8133,4493,3122,256,69,46,7986,147,6507
선부1동,관내사전투표,2298,2298,1626,567,63,18,6,2280,18,0
선부1동,선거일투표,12342,5835,2867,2555,193,51,40,5706,129,6507
선부2동,계,12461,5737,3329,2013,156,65,44,5607,130,6724
선부2동,관내사전투표,2030,2030,1482,445,50,23,7,2007,23,0
선부2동,선거일투표,10431,3707,1847,1568,106,42,37,3600,107,6724
선부3동,계,2930,2930,2068,714,83,11,15,2891,39,0
선부3동,관내사전투표,2930,2930,2068,714,83,11,15,2891,39,0
대부동,계,3543,2443,1138,1167,62,18,12,2397,46,1100
대부동,관내사전투표,1556,1556,872,589,49,11,11,1532,24,0
대부동,선거일투표,1987,887,266,578,13,7,1,865,22,1100
