읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 신용한,국민의힘 김영환,계,무효 투표수,기권자수
합계,,17087,12775,5606,6642,12248,527,4312
거소투표,,83,79,35,37,72,7,4
관외사전투표,,603,603,330,256,586,17,0
영동읍,계,4155,2257,970,1201,2171,86,1898
영동읍,선거일투표,4155,2257,970,1201,2171,86,1898
용산면,계,2786,1886,846,961,1807,79,900
용산면,관내사전투표,1013,1013,542,422,964,49,0
용산면,선거일투표,1773,873,304,539,843,30,900
황간면,계,952,952,486,427,913,39,0
황간면,관내사전투표,952,952,486,427,913,39,0
추풍령면,계,1860,1287,395,849,1244,43,573
추풍령면,관내사전투표,477,475,170,279,449,26,2
추풍령면,선거일투표,1383,812,225,570,795,17,571
매곡면,계,1557,1123,430,641,1071,52,434
매곡면,관내사전투표,493,493,236,223,459,34,0
매곡면,선거일투표,1064,630,194,418,612,18,434
상촌면,계,1888,1390,521,798,1319,71,498
상촌면,관내사전투표,600,598,294,277,571,27,2
상촌면,선거일투표,1288,792,227,521,748,44,496
양강면,계,1020,1019,558,421,979,40,1
양강면,관내사전투표,1020,1019,558,421,979,40,1
용화면,계,255,255,110,138,248,7,0
용화면,관내사전투표,255,255,110,138,248,7,0
학산면,계,717,716,366,322,688,28,1
학산면,관내사전투표,717,716,366,322,688,28,1
양산면,계,472,472,213,237,450,22,0
양산면,관내사전투표,472,472,213,237,450,22,0
심천면,계,739,736,346,354,700,36,3
심천면,관내사전투표,739,736,346,354,700,36,3
