읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 신용한,국민의힘 김영환,계,무효 투표수,기권자수
합계,,39676,28083,12929,14162,27091,992,11593
거소투표,,83,79,35,37,72,7,4
관외사전투표,,3015,3015,1834,1103,2937,78,0
영동읍,계,15162,10068,5013,4766,9779,289,5094
영동읍,관내사전투표,4320,4316,2556,1636,4192,124,4
영동읍,선거일투표,10842,5752,2457,3130,5587,165,5090
용산면,계,2786,1886,846,961,1807,79,900
용산면,관내사전투표,1013,1013,542,422,964,49,0
용산면,선거일투표,1773,873,304,539,843,30,900
황간면,계,3391,2349,959,1317,2276,73,1042
황간면,관내사전투표,952,952,486,427,913,39,0
황간면,선거일투표,2439,1397,473,890,1363,34,1042
추풍령면,계,1860,1287,395,849,1244,43,573
추풍령면,관내사전투표,477,475,170,279,449,26,2
추풍령면,선거일투표,1383,812,225,570,795,17,571
매곡면,계,1557,1123,430,641,1071,52,434
매곡면,관내사전투표,493,493,236,223,459,34,0
매곡면,선거일투표,1064,630,194,418,612,18,434
상촌면,계,1888,1390,521,798,1319,71,498
상촌면,관내사전투표,600,598,294,277,571,27,2
상촌면,선거일투표,1288,792,227,521,748,44,496
양강면,계,2811,1969,899,976,1875,94,842
양강면,관내사전투표,1020,1019,558,421,979,40,1
양강면,선거일투표,1791,950,341,555,896,54,841
용화면,계,763,557,240,299,539,18,206
용화면,관내사전투표,255,255,110,138,248,7,0
용화면,선거일투표,508,302,130,161,291,11,206
학산면,계,2296,1557,659,826,1485,72,739
학산면,관내사전투표,717,716,366,322,688,28,1
학산면,선거일투표,1579,841,293,504,797,44,738
양산면,계,1536,1046,399,603,1002,44,490
양산면,관내사전투표,472,472,213,237,450,22,0
양산면,선거일투표,1064,574,186,366,552,22,490
심천면,계,2528,1735,690,975,1665,70,793
심천면,관내사전투표,739,736,346,354,700,36,3
심천면,선거일투표,1789,999,344,621,965,34,790
잘못 투입·구분된 투표지,,0,22,9,11,20,2,-22
