읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 신용한,국민의힘 김영환,계,무효 투표수,기권자수
합계,,3805,3802,1939,1685,3624,178,3
속리산면,계,563,561,276,252,528,33,2
속리산면,관내사전투표,563,561,276,252,528,33,2
장안면,계,374,374,215,139,354,20,0
장안면,관내사전투표,374,374,215,139,354,20,0
마로면,계,546,546,304,219,523,23,0
마로면,관내사전투표,546,546,304,219,523,23,0
탄부면,계,421,421,209,183,392,29,0
탄부면,관내사전투표,421,421,209,183,392,29,0
삼승면,계,734,733,364,338,702,31,1
삼승면,관내사전투표,734,733,364,338,702,31,1
수한면,계,532,532,266,251,517,15,0
수한면,관내사전투표,532,532,266,251,517,15,0
회남면,계,181,181,80,92,172,9,0
회남면,관내사전투표,181,181,80,92,172,9,0
산외면,계,454,454,225,211,436,18,0
산외면,관내사전투표,454,454,225,211,436,18,0
