읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 추미애,국민의힘 양향자,개혁신당 조응천,진보당 홍성규,국민연합 김현욱,계,무효 투표수,기권자수
합계,,174158,106306,59333,34169,10782,586,420,105290,1016,67852
관외사전투표,,12275,12270,7695,3038,1249,81,52,12115,155,5
동탄1동,계,16461,11540,6704,3672,935,66,58,11435,105,4921
동탄1동,관내사전투표,5609,5608,3801,1259,453,34,20,5567,41,1
동탄1동,선거일투표,10852,5932,2903,2413,482,32,38,5868,64,4920
동탄2동,계,7918,6738,4843,1409,362,37,24,6675,63,1180
동탄2동,관내사전투표,5531,5530,4217,947,277,30,15,5486,44,1
동탄2동,선거일투표,2387,1208,626,462,85,7,9,1189,19,1179
동탄4동,계,30096,19371,10743,6318,1987,89,71,19208,163,10725
동탄4동,관내사전투표,6187,6182,4261,1253,566,31,22,6133,49,5
동탄4동,선거일투표,23909,13189,6482,5065,1421,58,49,13075,114,10720
동탄5동,계,20962,12058,6594,4160,1034,74,47,11909,149,8904
동탄5동,관내사전투표,4948,4947,3414,1075,361,27,13,4890,57,1
동탄5동,선거일투표,16014,7111,3180,3085,673,47,34,7019,92,8903
동탄6동,계,19369,11197,6161,3715,1137,48,48,11109,88,8172
동탄6동,관내사전투표,4501,4499,3159,871,397,22,18,4467,32,2
동탄6동,선거일투표,14868,6698,3002,2844,740,26,30,6642,56,8170
동탄7동,계,7391,3658,1789,1369,430,22,16,3626,32,3733
동탄7동,선거일투표,7391,3658,1789,1369,430,22,16,3626,32,3733
동탄8동,계,23387,11529,5946,4068,1300,66,44,11424,105,11858
동탄8동,선거일투표,23387,11529,5946,4068,1300,66,44,11424,105,11858
동탄9동,계,36299,17945,8858,6420,2348,103,60,17789,156,18354
동탄9동,선거일투표,36299,17945,8858,6420,2348,103,60,17789,156,18354
