읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 추미애,국민의힘 양향자,개혁신당 조응천,진보당 홍성규,국민연합 김현욱,계,무효 투표수,기권자수
합계,,30359,15055,7160,6784,412,163,143,14662,393,15304
생연1동,계,2136,828,361,408,21,10,10,810,18,1308
생연1동,선거일투표,2136,828,361,408,21,10,10,810,18,1308
생연2동,계,4183,1930,793,957,66,29,15,1860,70,2253
생연2동,선거일투표,4183,1930,793,957,66,29,15,1860,70,2253
중앙동,계,3045,1243,479,667,30,10,11,1197,46,1802
중앙동,선거일투표,3045,1243,479,667,30,10,11,1197,46,1802
보산동,계,1774,716,272,359,22,8,16,677,39,1058
보산동,선거일투표,1774,716,272,359,22,8,16,677,39,1058
불현동,계,9247,5974,3304,2298,156,50,56,5864,110,3273
불현동,관내사전투표,3561,3560,2326,1045,87,25,28,3511,49,1
불현동,선거일투표,5686,2414,978,1253,69,25,28,2353,61,3272
송내동,계,6646,2938,1346,1388,79,37,21,2871,67,3708
송내동,선거일투표,6646,2938,1346,1388,79,37,21,2871,67,3708
소요동,계,2067,908,385,450,25,15,7,882,26,1159
소요동,선거일투표,2067,908,385,450,25,15,7,882,26,1159
상패동,계,1261,518,220,257,13,4,7,501,17,743
상패동,선거일투표,1261,518,220,257,13,4,7,501,17,743
