읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 추미애,국민의힘 양향자,개혁신당 조응천,진보당 홍성규,국민연합 김현욱,계,무효 투표수,기권자수
합계,,193150,126047,55239,61524,6767,600,495,124625,1422,67103
관외사전투표,,3080,3079,1787,1024,194,28,13,3046,33,1
분당동,계,8342,4309,1680,2332,212,23,19,4266,43,4033
분당동,선거일투표,8342,4309,1680,2332,212,23,19,4266,43,4033
수내1동,계,8433,5608,2689,2524,310,23,18,5564,44,2825
수내1동,관내사전투표,2481,2481,1552,760,135,12,6,2465,16,0
수내1동,선거일투표,5952,3127,1137,1764,175,11,12,3099,28,2825
수내2동,계,4919,3480,1519,1683,211,18,16,3447,33,1439
수내2동,관내사전투표,1370,1370,838,422,82,10,9,1361,9,0
수내2동,선거일투표,3549,2110,681,1261,129,8,7,2086,24,1439
수내3동,계,7685,4905,2504,2063,247,23,12,4849,56,2780
수내3동,관내사전투표,2133,2133,1442,552,99,11,3,2107,26,0
수내3동,선거일투표,5552,2772,1062,1511,148,12,9,2742,30,2780
정자동,계,6607,4534,1740,2413,291,29,19,4492,42,2073
정자동,관내사전투표,1225,1224,721,384,93,13,5,1216,8,1
정자동,선거일투표,5382,3310,1019,2029,198,16,14,3276,34,2072
정자1동,계,7642,4170,1248,2579,272,10,12,4121,49,3472
정자1동,선거일투표,7642,4170,1248,2579,272,10,12,4121,49,3472
정자2동,계,3058,1828,802,906,53,11,12,1784,44,1230
정자2동,선거일투표,3058,1828,802,906,53,11,12,1784,44,1230
서현1동,계,19809,10621,3436,6364,615,45,51,10511,110,9188
서현1동,선거일투표,19809,10621,3436,6364,615,45,51,10511,110,9188
서현2동,계,13968,9344,4209,4465,497,48,34,9253,91,4624
서현2동,관내사전투표,2825,2825,1775,876,139,12,9,2811,14,0
서현2동,선거일투표,11143,6519,2434,3589,358,36,25,6442,77,4624
이매1동,계,8529,5453,1829,3214,309,18,19,5389,64,3076
이매1동,선거일투표,8529,5453,1829,3214,309,18,19,5389,64,3076
이매2동,계,5268,4096,1895,1895,248,22,11,4071,25,1172
이매2동,관내사전투표,2104,2104,1276,676,122,15,5,2094,10,0
이매2동,선거일투표,3164,1992,619,1219,126,7,6,1977,15,1172
야탑1동,계,12573,9339,4612,4103,418,46,52,9231,108,3234
야탑1동,관내사전투표,3879,3879,2494,1114,186,21,22,3837,42,0
야탑1동,선거일투표,8694,5460,2118,2989,232,25,30,5394,66,3234
야탑2동,계,12389,8502,3425,4442,476,41,27,8411,91,3887
야탑2동,관내사전투표,2123,2123,1271,684,129,14,9,2107,16,0
야탑2동,선거일투표,10266,6379,2154,3758,347,27,18,6304,75,3887
야탑3동,계,14718,8680,3786,4265,394,43,42,8530,150,6038
야탑3동,선거일투표,14718,8680,3786,4265,394,43,42,8530,150,6038
금곡동,계,5488,3556,1397,1892,188,23,14,3514,42,1932
금곡동,선거일투표,5488,3556,1397,1892,188,23,14,3514,42,1932
구미동,계,9890,5688,2277,3024,234,30,27,5592,96,4202
구미동,선거일투표,9890,5688,2277,3024,234,30,27,5592,96,4202
구미1동,계,3334,2088,751,1175,127,6,6,2065,23,1246
구미1동,선거일투표,3334,2088,751,1175,127,6,6,2065,23,1246
판교동,계,12645,9236,4668,3848,571,34,30,9151,85,3409
판교동,관내사전투표,3211,3209,2172,823,172,14,8,3189,20,2
판교동,선거일투표,9434,6027,2496,3025,399,20,22,5962,65,3407
삼평동,계,8734,6434,3352,2608,367,31,14,6372,62,2300
삼평동,관내사전투표,3177,3177,2189,797,148,18,5,3157,20,0
삼평동,선거일투표,5557,3257,1163,1811,219,13,9,3215,42,2300
백현동,계,12468,8703,4430,3661,438,41,40,8610,93,3765
백현동,관내사전투표,3584,3584,2374,965,178,15,7,3539,45,0
백현동,선거일투표,8884,5119,2056,2696,260,26,33,5071,48,3765
운중동,계,3571,2394,1203,1044,95,7,7,2356,38,1177
운중동,선거일투표,3571,2394,1203,1044,95,7,7,2356,38,1177
