읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 추미애,국민의힘 양향자,개혁신당 조응천,진보당 홍성규,국민연합 김현욱,계,무효 투표수,기권자수
합계,,246557,168030,78239,77538,8980,815,632,166204,1826,78527
관외사전투표,,6262,6259,3714,2007,378,50,24,6173,86,3
분당동,계,10680,6644,3223,2975,327,38,26,6589,55,4036
분당동,관내사전투표,2338,2335,1543,643,115,15,7,2323,12,3
분당동,선거일투표,8342,4309,1680,2332,212,23,19,4266,43,4033
수내1동,계,9903,6458,2947,3057,342,27,24,6397,61,3445
수내1동,관내사전투표,2481,2481,1552,760,135,12,6,2465,16,0
수내1동,선거일투표,7422,3977,1395,2297,207,15,18,3932,45,3445
수내2동,계,4919,3480,1519,1683,211,18,16,3447,33,1439
수내2동,관내사전투표,1370,1370,838,422,82,10,9,1361,9,0
수내2동,선거일투표,3549,2110,681,1261,129,8,7,2086,24,1439
수내3동,계,7685,4905,2504,2063,247,23,12,4849,56,2780
수내3동,관내사전투표,2133,2133,1442,552,99,11,3,2107,26,0
수내3동,선거일투표,5552,2772,1062,1511,148,12,9,2742,30,2780
정자동,계,6607,4534,1740,2413,291,29,19,4492,42,2073
정자동,관내사전투표,1225,1224,721,384,93,13,5,1216,8,1
정자동,선거일투표,5382,3310,1019,2029,198,16,14,3276,34,2072
정자1동,계,10378,6906,2893,3444,452,18,18,6825,81,3472
정자1동,관내사전투표,2736,2736,1645,865,180,8,6,2704,32,0
정자1동,선거일투표,7642,4170,1248,2579,272,10,12,4121,49,3472
정자2동,계,5739,3981,2054,1636,170,27,20,3907,74,1758
정자2동,관내사전투표,1749,1748,1110,501,94,15,7,1727,21,1
정자2동,선거일투표,3990,2233,944,1135,76,12,13,2180,53,1757
정자3동,계,2410,2410,1605,649,114,14,4,2386,24,0
정자3동,관내사전투표,2410,2410,1605,649,114,14,4,2386,24,0
서현1동,계,24128,14940,6080,7740,847,67,66,14800,140,9188
서현1동,관내사전투표,4319,4319,2644,1376,232,22,15,4289,30,0
서현1동,선거일투표,19809,10621,3436,6364,615,45,51,10511,110,9188
서현2동,계,13968,9344,4209,4465,497,48,34,9253,91,4624
서현2동,관내사전투표,2825,2825,1775,876,139,12,9,2811,14,0
서현2동,선거일투표,11143,6519,2434,3589,358,36,25,6442,77,4624
이매1동,계,11209,8132,3540,4017,436,28,29,8050,82,3077
이매1동,관내사전투표,2680,2679,1711,803,127,10,10,2661,18,1
이매1동,선거일투표,8529,5453,1829,3214,309,18,19,5389,64,3076
이매2동,계,5268,4096,1895,1895,248,22,11,4071,25,1172
이매2동,관내사전투표,2104,2104,1276,676,122,15,5,2094,10,0
이매2동,선거일투표,3164,1992,619,1219,126,7,6,1977,15,1172
야탑1동,계,12573,9339,4612,4103,418,46,52,9231,108,3234
야탑1동,관내사전투표,3879,3879,2494,1114,186,21,22,3837,42,0
야탑1동,선거일투표,8694,5460,2118,2989,232,25,30,5394,66,3234
야탑2동,계,12389,8502,3425,4442,476,41,27,8411,91,3887
야탑2동,관내사전투표,2123,2123,1271,684,129,14,9,2107,16,0
야탑2동,선거일투표,10266,6379,2154,3758,347,27,18,6304,75,3887
야탑3동,계,14718,8680,3786,4265,394,43,42,8530,150,6038
야탑3동,선거일투표,14718,8680,3786,4265,394,43,42,8530,150,6038
금곡동,계,5488,3556,1397,1892,188,23,14,3514,42,1932
금곡동,선거일투표,5488,3556,1397,1892,188,23,14,3514,42,1932
구미동,계,14689,9920,4620,4596,478,52,38,9784,136,4769
구미동,관내사전투표,3034,3034,1889,929,169,14,6,3007,27,0
구미동,선거일투표,11655,6886,2731,3667,309,38,32,6777,109,4769
구미1동,계,5239,3288,1194,1859,181,11,9,3254,34,1951
구미1동,선거일투표,5239,3288,1194,1859,181,11,9,3254,34,1951
판교동,계,12645,9236,4668,3848,571,34,30,9151,85,3409
판교동,관내사전투표,3211,3209,2172,823,172,14,8,3189,20,2
판교동,선거일투표,9434,6027,2496,3025,399,20,22,5962,65,3407
삼평동,계,18049,11714,5681,5196,614,57,43,11591,123,6335
삼평동,관내사전투표,3177,3177,2189,797,148,18,5,3157,20,0
삼평동,선거일투표,14872,8537,3492,4399,466,39,38,8434,103,6335
백현동,계,15024,10208,4890,4580,541,44,45,10100,108,4816
백현동,관내사전투표,3584,3584,2374,965,178,15,7,3539,45,0
백현동,선거일투표,11440,6624,2516,3615,363,29,38,6561,63,4816
운중동,계,16587,11498,6043,4713,559,55,29,11399,99,5089
운중동,관내사전투표,4040,4039,2721,1028,219,24,11,4003,36,1
운중동,선거일투표,12547,7459,3322,3685,340,31,18,7396,63,5088
