읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 오중기,국민의힘 이철우,계,무효 투표수,기권자수
합계,,46126,32430,13136,18074,31210,1220,13696
거소투표,,101,86,26,56,82,4,15
관외사전투표,,4049,4040,2139,1806,3945,95,9
예천읍,계,11191,7575,2847,4428,7275,300,3616
예천읍,관내사전투표,2583,2580,1219,1248,2467,113,3
예천읍,선거일투표,8608,4995,1628,3180,4808,187,3613
호명읍,계,13517,8517,5006,3354,8360,157,5000
호명읍,관내사전투표,3048,3046,2093,909,3002,44,2
호명읍,선거일투표,10469,5471,2913,2445,5358,113,4998
용문면,계,1787,1253,310,898,1208,45,534
용문면,관내사전투표,502,501,151,328,479,22,1
용문면,선거일투표,1285,752,159,570,729,23,533
효자면,계,990,699,199,468,667,32,291
효자면,관내사전투표,252,252,89,152,241,11,0
효자면,선거일투표,738,447,110,316,426,21,291
은풍면,계,1106,853,275,538,813,40,253
은풍면,관내사전투표,348,348,124,206,330,18,0
은풍면,선거일투표,758,505,151,332,483,22,253
감천면,계,2172,1555,426,1036,1462,93,617
감천면,관내사전투표,566,566,166,356,522,44,0
감천면,선거일투표,1606,989,260,680,940,49,617
보문면,계,1268,906,214,648,862,44,362
보문면,관내사전투표,423,423,100,294,394,29,0
보문면,선거일투표,845,483,114,354,468,15,362
유천면,계,1963,1339,366,894,1260,79,624
유천면,관내사전투표,425,425,135,261,396,29,0
유천면,선거일투표,1538,914,231,633,864,50,624
용궁면,계,1993,1444,257,1097,1354,90,549
용궁면,관내사전투표,690,688,135,508,643,45,2
용궁면,선거일투표,1303,756,122,589,711,45,547
개포면,계,1272,911,214,647,861,50,361
개포면,관내사전투표,372,372,103,241,344,28,0
개포면,선거일투표,900,539,111,406,517,22,361
지보면,계,2224,1508,470,950,1420,88,716
지보면,관내사전투표,538,536,211,285,496,40,2
지보면,선거일투표,1686,972,259,665,924,48,714
풍양면,계,2493,1727,381,1245,1626,101,766
풍양면,관내사전투표,594,592,172,364,536,56,2
풍양면,선거일투표,1899,1135,209,881,1090,45,764
잘못 투입·구분된 투표지,,0,17,6,9,15,2,-17
