읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 민형배,국민의힘 이정현,진보당 이종욱,정의당 강은미,무소속 김광만,계,무효 투표수,기권자수
합계,,7010,7010,5240,573,211,227,142,6393,617,0
관외사전투표,,1074,1074,843,95,29,42,17,1026,48,0
고군면,계,1374,1374,1039,94,48,36,33,1250,124,0
고군면,관내사전투표,1374,1374,1039,94,48,36,33,1250,124,0
의신면,계,1513,1513,1150,121,39,65,27,1402,111,0
의신면,관내사전투표,1513,1513,1150,121,39,65,27,1402,111,0
임회면,계,1255,1255,937,109,29,36,30,1141,114,0
임회면,관내사전투표,1255,1255,937,109,29,36,30,1141,114,0
지산면,계,1147,1147,810,114,48,29,24,1025,122,0
지산면,관내사전투표,1147,1147,810,114,48,29,24,1025,122,0
조도면,계,647,647,461,40,18,19,11,549,98,0
조도면,관내사전투표,647,647,461,40,18,19,11,549,98,0
