읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 신용한,국민의힘 김영환,계,무효 투표수,기권자수
합계,,20218,12552,6784,5478,12262,290,7666
거소투표,,120,114,56,49,105,9,6
관외사전투표,,1619,1618,1048,537,1585,33,1
진천읍,계,1484,665,259,393,652,13,819
진천읍,선거일투표,1484,665,259,393,652,13,819
덕산읍,계,5283,1823,969,827,1796,27,3460
덕산읍,선거일투표,5283,1823,969,827,1796,27,3460
초평면,계,2554,1614,745,816,1561,53,940
초평면,관내사전투표,611,611,385,204,589,22,0
초평면,선거일투표,1943,1003,360,612,972,31,940
문백면,계,1457,1071,541,503,1044,27,386
문백면,관내사전투표,561,561,348,199,547,14,0
문백면,선거일투표,896,510,193,304,497,13,386
백곡면,계,1860,1239,476,735,1211,28,621
백곡면,관내사전투표,484,484,273,200,473,11,0
백곡면,선거일투표,1376,755,203,535,738,17,621
이월면,계,3849,2416,1281,1087,2368,48,1433
이월면,관내사전투표,1284,1284,821,437,1258,26,0
이월면,선거일투표,2565,1132,460,650,1110,22,1433
광혜원면,계,1992,1992,1409,531,1940,52,0
광혜원면,관내사전투표,1992,1992,1409,531,1940,52,0
