읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 추미애,국민의힘 양향자,개혁신당 조응천,진보당 홍성규,국민연합 김현욱,계,무효 투표수,기권자수
합계,,173618,99611,55552,37178,4287,703,519,98239,1372,74007
관외사전투표,,7179,7177,4588,2011,369,51,34,7053,124,2
세류2동,계,5358,3388,2053,1139,98,18,17,3325,63,1970
세류2동,관내사전투표,2390,2390,1659,608,59,16,12,2354,36,0
세류2동,선거일투표,2968,998,394,531,39,2,5,971,27,1970
세류3동,계,8497,4584,2442,1888,133,22,24,4509,75,3913
세류3동,관내사전투표,2182,2181,1450,634,41,11,11,2147,34,1
세류3동,선거일투표,6315,2403,992,1254,92,11,13,2362,41,3912
평동,계,10689,6219,3573,2247,214,49,40,6123,96,4470
평동,관내사전투표,2527,2525,1816,579,79,13,20,2507,18,2
평동,선거일투표,8162,3694,1757,1668,135,36,20,3616,78,4468
서둔동,계,23480,12032,6497,4747,473,60,75,11852,180,11448
서둔동,관내사전투표,3894,3892,2749,929,127,23,27,3855,37,2
서둔동,선거일투표,19586,8140,3748,3818,346,37,48,7997,143,11446
구운동,계,11331,6739,3708,2608,272,40,23,6651,88,4592
구운동,관내사전투표,2603,2603,1853,624,77,12,8,2574,29,0
구운동,선거일투표,8728,4136,1855,1984,195,28,15,4077,59,4592
금곡동,계,21289,10321,5218,4312,441,133,62,10166,155,10968
금곡동,선거일투표,21289,10321,5218,4312,441,133,62,10166,155,10968
호매실동,계,13280,6111,3304,2401,244,59,27,6035,76,7169
호매실동,선거일투표,13280,6111,3304,2401,244,59,27,6035,76,7169
권선1동,계,13574,6080,3058,2637,240,28,27,5990,90,7494
권선1동,관내사전투표,2221,2220,1509,579,88,11,5,2192,28,1
권선1동,선거일투표,11353,3860,1549,2058,152,17,22,3798,62,7493
권선2동,계,17754,11542,6324,4400,556,65,57,11402,140,6212
권선2동,관내사전투표,5162,5162,3538,1288,240,25,20,5111,51,0
권선2동,선거일투표,12592,6380,2786,3112,316,40,37,6291,89,6212
곡선동,계,17055,9970,5723,3569,442,56,63,9853,117,7085
곡선동,관내사전투표,3825,3824,2790,821,137,20,23,3791,33,1
곡선동,선거일투표,13230,6146,2933,2748,305,36,40,6062,84,7084
입북동,계,6016,3860,2485,1148,138,37,17,3825,35,2156
입북동,관내사전투표,2040,2038,1550,388,64,19,7,2028,10,2
입북동,선거일투표,3976,1822,935,760,74,18,10,1797,25,2154
율천동,계,18116,11588,6579,4071,667,85,53,11455,133,6528
율천동,관내사전투표,4592,4590,3223,1009,258,35,18,4543,47,2
율천동,선거일투표,13524,6998,3356,3062,409,50,35,6912,86,6526
