읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 오중기,국민의힘 이철우,계,무효 투표수,기권자수
합계,,25992,23424,11322,11383,22705,719,2568
거소투표,,309,286,82,189,271,15,23
관외사전투표,,969,968,460,480,940,28,1
풍산읍,계,1141,1140,553,544,1097,43,1
풍산읍,관내사전투표,1141,1140,553,544,1097,43,1
와룡면,계,3211,2080,701,1294,1995,85,1131
와룡면,관내사전투표,772,771,339,384,723,48,1
와룡면,선거일투표,2439,1309,362,910,1272,37,1130
서후면,계,3223,1815,643,1107,1750,65,1408
서후면,관내사전투표,496,496,211,258,469,27,0
서후면,선거일투표,2727,1319,432,849,1281,38,1408
풍천면,계,803,803,437,338,775,28,0
풍천면,관내사전투표,803,803,437,338,775,28,0
일직면,계,616,615,170,418,588,27,1
일직면,관내사전투표,616,615,170,418,588,27,1
남선면,계,267,267,130,125,255,12,0
남선면,관내사전투표,267,267,130,125,255,12,0
임하면,계,609,609,229,327,556,53,0
임하면,관내사전투표,609,609,229,327,556,53,0
길안면,계,523,522,225,276,501,21,1
길안면,관내사전투표,523,522,225,276,501,21,1
임동면,계,375,374,125,225,350,24,1
임동면,관내사전투표,375,374,125,225,350,24,1
예안면,계,419,419,197,205,402,17,0
예안면,관내사전투표,419,419,197,205,402,17,0
도산면,계,257,257,107,133,240,17,0
도산면,관내사전투표,257,257,107,133,240,17,0
녹전면,계,215,215,70,134,204,11,0
녹전면,관내사전투표,215,215,70,134,204,11,0
중구동,계,846,846,424,392,816,30,0
중구동,관내사전투표,846,846,424,392,816,30,0
명륜동,계,916,916,427,469,896,20,0
명륜동,관내사전투표,916,916,427,469,896,20,0
서구동,계,896,895,497,383,880,15,1
서구동,관내사전투표,896,895,497,383,880,15,1
태화동,계,1646,1646,741,837,1578,68,0
태화동,관내사전투표,1646,1646,741,837,1578,68,0
평화동,계,967,967,486,460,946,21,0
평화동,관내사전투표,967,967,486,460,946,21,0
안기동,계,1105,1105,543,542,1085,20,0
안기동,관내사전투표,1105,1105,543,542,1085,20,0
옥동,계,2314,2314,1403,876,2279,35,0
옥동,관내사전투표,2314,2314,1403,876,2279,35,0
송하동,계,2563,2563,1475,1046,2521,42,0
송하동,관내사전투표,2563,2563,1475,1046,2521,42,0
강남동,계,1802,1802,1197,583,1780,22,0
강남동,관내사전투표,1802,1802,1197,583,1780,22,0
