읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 우상호,국민의힘 김진태,계,무효 투표수,기권자수
합계,,15444,12289,6627,5336,11963,326,3155
거소투표,,67,61,20,38,58,3,6
정선읍,계,2538,2534,1597,887,2484,50,4
정선읍,관내사전투표,2538,2534,1597,887,2484,50,4
고한읍,계,3983,2538,1297,1167,2464,74,1445
고한읍,관내사전투표,1162,1162,731,395,1126,36,0
고한읍,선거일투표,2821,1376,566,772,1338,38,1445
사북읍,계,3851,2530,1198,1290,2488,42,1321
사북읍,관내사전투표,1152,1152,714,420,1134,18,0
사북읍,선거일투표,2699,1378,484,870,1354,24,1321
신동읍,계,656,656,396,243,639,17,0
신동읍,관내사전투표,656,656,396,243,639,17,0
화암면,계,1375,999,426,541,967,32,376
화암면,관내사전투표,384,383,211,155,366,17,1
화암면,선거일투표,991,616,215,386,601,15,375
남면,계,582,582,361,207,568,14,0
남면,관내사전투표,582,582,361,207,568,14,0
여량면,계,598,597,318,263,581,16,1
여량면,관내사전투표,598,597,318,263,581,16,1
북평면,계,821,820,496,289,785,35,1
북평면,관내사전투표,821,820,496,289,785,35,1
임계면,계,973,972,518,411,929,43,1
임계면,관내사전투표,973,972,518,411,929,43,1
