읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 전재수,국민의힘 박형준,개혁신당 정이한,계,무효 투표수,기권자수
합계,,30567,23260,15528,7256,278,23062,198,7307
대저1동,계,825,823,528,268,12,808,15,2
대저1동,관내사전투표,825,823,528,268,12,808,15,2
대저2동,계,976,976,628,319,20,967,9,0
대저2동,관내사전투표,976,976,628,319,20,967,9,0
강동동,계,885,885,561,302,9,872,13,0
강동동,관내사전투표,885,885,561,302,9,872,13,0
명지1동,계,6183,6179,4912,1161,78,6151,28,4
명지1동,관내사전투표,6183,6179,4912,1161,78,6151,28,4
명지2동,계,3868,3868,3003,804,46,3853,15,0
명지2동,관내사전투표,3868,3868,3003,804,46,3853,15,0
가락동,계,1804,1196,491,685,13,1189,7,608
가락동,관내사전투표,422,422,274,143,3,420,2,0
가락동,선거일투표,1382,774,217,542,10,769,5,608
녹산동,계,13330,6637,3427,3059,76,6562,75,6693
녹산동,관내사전투표,1010,1010,738,256,9,1003,7,0
녹산동,선거일투표,12320,5627,2689,2803,67,5559,68,6693
신호동,계,2094,2094,1607,447,20,2074,20,0
신호동,관내사전투표,2094,2094,1607,447,20,2074,20,0
가덕도동,계,602,602,371,211,4,586,16,0
가덕도동,관내사전투표,602,602,371,211,4,586,16,0
