읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 김상욱,국민의힘 김두겸,무소속 박맹우,계,무효 투표수,기권자수
합계,,177012,116114,51673,55204,7031,113908,2206,60898
거소투표,,192,174,55,99,8,162,12,18
관외사전투표,,10075,10071,6048,3296,597,9941,130,4
학성동,계,9547,6001,2106,3388,355,5849,152,3546
학성동,관내사전투표,1870,1867,1006,730,94,1830,37,3
학성동,선거일투표,7677,4134,1100,2658,261,4019,115,3543
반구1동,계,12938,7980,3532,3812,476,7820,160,4958
반구1동,관내사전투표,2631,2630,1686,787,125,2598,32,1
반구1동,선거일투표,10307,5350,1846,3025,351,5222,128,4957
반구2동,계,6941,4198,1589,2246,275,4110,88,2743
반구2동,관내사전투표,1244,1244,733,416,83,1232,12,0
반구2동,선거일투표,5697,2954,856,1830,192,2878,76,2743
복산동,계,15149,9483,4089,4577,638,9304,179,5666
복산동,관내사전투표,2071,2068,1268,660,121,2049,19,3
복산동,선거일투표,13078,7415,2821,3917,517,7255,160,5663
성안동,계,16232,9710,4696,4320,540,9556,154,6522
성안동,관내사전투표,3426,3426,2317,915,156,3388,38,0
성안동,선거일투표,12806,6284,2379,3405,384,6168,116,6522
중앙동,계,8628,5270,1905,2966,300,5171,99,3358
중앙동,관내사전투표,1763,1761,1069,581,90,1740,21,2
중앙동,선거일투표,6865,3509,836,2385,210,3431,78,3356
우정동,계,15455,10031,4095,5118,637,9850,181,5424
우정동,관내사전투표,2638,2638,1619,864,131,2614,24,0
우정동,선거일투표,12817,7393,2476,4254,506,7236,157,5424
태화동,계,23633,16019,7170,7579,1012,15761,258,7614
태화동,관내사전투표,3577,3576,2235,1131,180,3546,30,1
태화동,선거일투표,20056,12443,4935,6448,832,12215,228,7613
다운동,계,19151,11978,4844,6138,744,11726,252,7173
다운동,관내사전투표,2887,2886,1806,892,154,2852,34,1
다운동,선거일투표,16264,9092,3038,5246,590,8874,218,7172
병영1동,계,16919,10958,4816,5239,654,10709,249,5961
병영1동,관내사전투표,3532,3496,2062,1204,185,3451,45,36
병영1동,선거일투표,13387,7462,2754,4035,469,7258,204,5925
병영2동,계,14400,8717,3954,4041,511,8506,211,5683
병영2동,관내사전투표,1724,1722,1162,464,81,1707,15,2
병영2동,선거일투표,12676,6995,2792,3577,430,6799,196,5681
약사동,계,7752,5445,2728,2360,280,5368,77,2307
약사동,관내사전투표,2253,2253,1512,630,93,2235,18,0
약사동,선거일투표,5499,3192,1216,1730,187,3133,59,2307
잘못 투입·구분된 투표지,,0,79,46,25,4,75,4,-79
