읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 신용한,국민의힘 김영환,계,무효 투표수,기권자수
합계,,38042,20463,10306,9765,20071,392,17579
거소투표,,215,206,103,95,198,8,9
내수읍,계,11406,4741,2269,2376,4645,96,6665
내수읍,선거일투표,11406,4741,2269,2376,4645,96,6665
북이면,계,3562,2031,897,1096,1993,38,1531
북이면,관내사전투표,550,550,329,215,544,6,0
북이면,선거일투표,3012,1481,568,881,1449,32,1531
우암동,계,3973,2590,1385,1168,2553,37,1383
우암동,관내사전투표,1517,1517,938,557,1495,22,0
우암동,선거일투표,2456,1073,447,611,1058,15,1383
내덕제1동,계,3170,2200,1109,1032,2141,59,970
내덕제1동,관내사전투표,1376,1376,809,540,1349,27,0
내덕제1동,선거일투표,1794,824,300,492,792,32,970
내덕제2동,계,7823,4652,2462,2114,4576,76,3171
내덕제2동,관내사전투표,1694,1694,1110,567,1677,17,0
내덕제2동,선거일투표,6129,2958,1352,1547,2899,59,3171
율량·사천동,계,4778,2139,1095,1000,2095,44,2639
율량·사천동,선거일투표,4778,2139,1095,1000,2095,44,2639
오근장동,계,3115,1904,986,884,1870,34,1211
오근장동,관내사전투표,1034,1033,684,333,1017,16,1
오근장동,선거일투표,2081,871,302,551,853,18,1210
