읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 김경수,국민의힘 박완수,계,무효 투표수,기권자수
합계,,52868,33705,15391,17614,33005,700,19163
반송동,계,17911,10758,4351,6172,10523,235,7153
반송동,선거일투표,17911,10758,4351,6172,10523,235,7153
중앙동,계,10053,6222,2814,3260,6074,148,3831
중앙동,선거일투표,10053,6222,2814,3260,6074,148,3831
용지동,계,10740,7153,3402,3625,7027,126,3587
용지동,관내사전투표,2875,2874,1843,1006,2849,25,1
용지동,선거일투표,7865,4279,1559,2619,4178,101,3586
사파동,계,5266,2936,1179,1675,2854,82,2330
사파동,선거일투표,5266,2936,1179,1675,2854,82,2330
성주동,계,5777,4857,3007,1791,4798,59,920
성주동,관내사전투표,3288,3286,2315,946,3261,25,2
성주동,선거일투표,2489,1571,692,845,1537,34,918
웅남동,계,3121,1779,638,1091,1729,50,1342
웅남동,선거일투표,3121,1779,638,1091,1729,50,1342
