읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 김경수,국민의힘 박완수,계,무효 투표수,기권자수
합계,,74816,49814,19887,28541,48428,1386,25002
관외사전투표,,5358,5357,2942,2321,5263,94,1
삼랑진읍,계,5535,3379,1089,2121,3210,169,2156
삼랑진읍,관내사전투표,1063,1063,487,537,1024,39,0
삼랑진읍,선거일투표,4472,2316,602,1584,2186,130,2156
하남읍,계,5825,3755,1423,2202,3625,130,2070
하남읍,관내사전투표,1330,1328,661,624,1285,43,2
하남읍,선거일투표,4495,2427,762,1578,2340,87,2068
부북면,계,4416,2646,829,1740,2569,77,1770
부북면,관내사전투표,728,728,294,419,713,15,0
부북면,선거일투표,3688,1918,535,1321,1856,62,1770
상동면,계,2644,1713,582,1091,1673,40,931
상동면,관내사전투표,657,657,289,356,645,12,0
상동면,선거일투표,1987,1056,293,735,1028,28,931
산외면,계,1596,1148,432,676,1108,40,448
산외면,관내사전투표,579,579,278,282,560,19,0
산외면,선거일투표,1017,569,154,394,548,21,448
산내면,계,3170,2040,680,1304,1984,56,1130
산내면,관내사전투표,597,597,278,304,582,15,0
산내면,선거일투표,2573,1443,402,1000,1402,41,1130
단장면,계,3586,2302,733,1500,2233,69,1284
단장면,관내사전투표,715,715,330,369,699,16,0
단장면,선거일투표,2871,1587,403,1131,1534,53,1284
상남면,계,6155,3872,1335,2408,3743,129,2283
상남면,관내사전투표,878,878,390,455,845,33,0
상남면,선거일투표,5277,2994,945,1953,2898,96,2283
초동면,계,2732,1720,581,1097,1678,42,1012
초동면,관내사전투표,732,732,311,398,709,23,0
초동면,선거일투표,2000,988,270,699,969,19,1012
무안면,계,2378,1727,579,1090,1669,58,651
무안면,관내사전투표,1041,1041,435,570,1005,36,0
무안면,선거일투표,1337,686,144,520,664,22,651
청도면,계,1462,960,322,604,926,34,502
청도면,관내사전투표,416,416,180,226,406,10,0
청도면,선거일투표,1046,544,142,378,520,24,502
내일동,계,852,662,254,390,644,18,190
내일동,관내사전투표,404,404,196,202,398,6,0
내일동,선거일투표,448,258,58,188,246,12,190
내이동,계,6082,3913,1697,2141,3838,75,2169
내이동,관내사전투표,1758,1758,976,760,1736,22,0
내이동,선거일투표,4324,2155,721,1381,2102,53,2169
교동,계,5199,3338,1503,1778,3281,57,1861
교동,관내사전투표,1591,1591,915,656,1571,20,0
교동,선거일투표,3608,1747,588,1122,1710,37,1861
삼문동,계,11504,7323,3279,3868,7147,176,4181
삼문동,관내사전투표,2606,2604,1564,1004,2568,36,2
삼문동,선거일투표,8898,4719,1715,2864,4579,140,4179
가곡동,계,6322,3959,1627,2210,3837,122,2363
가곡동,관내사전투표,1548,1547,812,704,1516,31,1
가곡동,선거일투표,4774,2412,815,1506,2321,91,2362
