읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 민형배,국민의힘 이정현,진보당 이종욱,정의당 강은미,무소속 김광만,계,무효 투표수,기권자수
합계,,329881,179685,138402,20087,9091,6917,2298,176795,2890,150196
거소투표,,541,514,380,69,17,13,13,492,22,27
관외사전투표,,26150,26148,19566,3154,1440,1185,410,25755,393,2
중흥1동,계,3398,1519,1169,198,35,57,25,1484,35,1879
중흥1동,관내사전투표,761,759,635,64,14,26,7,746,13,2
중흥1동,선거일투표,2637,760,534,134,21,31,18,738,22,1877
중흥동,계,11391,5278,3851,795,252,207,90,5195,83,6113
중흥동,관내사전투표,2365,2364,1827,258,123,92,37,2337,27,1
중흥동,선거일투표,9026,2914,2024,537,129,115,53,2858,56,6112
중앙동,계,3096,1406,1034,207,55,63,24,1383,23,1690
중앙동,관내사전투표,852,852,655,102,29,40,14,840,12,0
중앙동,선거일투표,2244,554,379,105,26,23,10,543,11,1690
임동,계,10456,5573,3956,959,252,223,71,5461,112,4883
임동,관내사전투표,1912,1912,1544,161,87,68,15,1875,37,0
임동,선거일투표,8544,3661,2412,798,165,155,56,3586,75,4883
신안동,계,9486,3876,2939,481,158,164,51,3793,83,5610
신안동,관내사전투표,1805,1804,1458,129,81,83,20,1771,33,1
신안동,선거일투표,7681,2072,1481,352,77,81,31,2022,50,5609
용봉동,계,26800,11735,8748,1458,661,485,152,11504,231,15065
용봉동,관내사전투표,3083,3083,2437,276,164,122,31,3030,53,0
용봉동,선거일투표,23717,8652,6311,1182,497,363,121,8474,178,15065
운암1동,계,3440,3439,2773,283,149,175,39,3419,20,1
운암1동,관내사전투표,3440,3439,2773,283,149,175,39,3419,20,1
운암2동,계,8738,4107,3252,386,191,156,50,4035,72,4631
운암2동,관내사전투표,2231,2230,1863,139,86,79,27,2194,36,1
운암2동,선거일투표,6507,1877,1389,247,105,77,23,1841,36,4630
운암3동,계,12927,6936,5153,947,330,329,84,6843,93,5991
운암3동,관내사전투표,3618,3618,2846,356,181,155,36,3574,44,0
운암3동,선거일투표,9309,3318,2307,591,149,174,48,3269,49,5991
동림동,계,2755,2755,2269,187,129,115,29,2729,26,0
동림동,관내사전투표,2755,2755,2269,187,129,115,29,2729,26,0
우산동,계,11705,5800,4421,763,236,198,72,5690,110,5905
우산동,관내사전투표,2211,2210,1769,226,83,86,24,2188,22,1
우산동,선거일투표,9494,3590,2652,537,153,112,48,3502,88,5904
풍향동,계,3639,1787,1353,222,96,70,23,1764,23,1852
풍향동,관내사전투표,868,868,695,72,48,33,9,857,11,0
풍향동,선거일투표,2771,919,658,150,48,37,14,907,12,1852
문화동,계,17289,8809,6771,1073,383,319,127,8673,136,8480
문화동,관내사전투표,3482,3482,2880,260,136,109,37,3422,60,0
문화동,선거일투표,13807,5327,3891,813,247,210,90,5251,76,8480
문흥1동,계,11421,6320,5045,601,282,237,65,6230,90,5101
문흥1동,관내사전투표,3268,3267,2763,208,129,102,31,3233,34,1
문흥1동,선거일투표,8153,3053,2282,393,153,135,34,2997,56,5100
문흥2동,계,11723,5973,4752,592,257,185,65,5851,122,5750
문흥2동,관내사전투표,2905,2905,2446,191,112,81,21,2851,54,0
문흥2동,선거일투표,8818,3068,2306,401,145,104,44,3000,68,5750
두암1동,계,5855,2961,2406,279,114,83,41,2923,38,2894
두암1동,관내사전투표,1476,1476,1255,97,59,33,14,1458,18,0
두암1동,선거일투표,4379,1485,1151,182,55,50,27,1465,20,2894
두암2동,계,11680,5607,4471,562,239,170,68,5510,97,6073
두암2동,관내사전투표,2729,2727,2286,162,134,76,19,2677,50,2
두암2동,선거일투표,8951,2880,2185,400,105,94,49,2833,47,6071
두암3동,계,10250,5324,4342,472,194,161,50,5219,105,4926
두암3동,관내사전투표,2796,2795,2385,171,89,69,23,2737,58,1
두암3동,선거일투표,7454,2529,1957,301,105,92,27,2482,47,4925
삼각동,계,10174,4981,3865,484,313,183,60,4905,76,5193
삼각동,관내사전투표,2293,2292,1851,154,168,70,26,2269,23,1
삼각동,선거일투표,7881,2689,2014,330,145,113,34,2636,53,5192
일곡동,계,20745,11087,8602,1075,726,402,118,10923,164,9658
일곡동,관내사전투표,5203,5202,4283,301,342,173,40,5139,63,1
일곡동,선거일투표,15542,5885,4319,774,384,229,78,5784,101,9657
매곡동,계,10990,6469,5066,563,460,233,62,6384,85,4521
매곡동,관내사전투표,3920,3920,3172,235,297,136,35,3875,45,0
매곡동,선거일투표,7070,2549,1894,328,163,97,27,2509,40,4521
오치1동,계,7876,3589,2799,366,173,129,49,3516,73,4287
오치1동,관내사전투표,1522,1522,1275,85,76,48,21,1505,17,0
오치1동,선거일투표,6354,2067,1524,281,97,81,28,2011,56,4287
오치2동,계,9605,4738,3791,464,191,138,64,4648,90,4867
오치2동,관내사전투표,2408,2408,2028,163,93,65,26,2375,33,0
오치2동,선거일투표,7197,2330,1763,301,98,73,38,2273,57,4867
석곡동,계,1846,1068,831,88,43,56,12,1030,38,778
석곡동,관내사전투표,586,586,468,41,23,30,6,568,18,0
석곡동,선거일투표,1260,482,363,47,20,26,6,462,20,778
건국동,계,16198,7820,6144,784,393,268,96,7685,135,8378
건국동,관내사전투표,3381,3378,2762,231,174,117,30,3314,64,3
건국동,선거일투표,12817,4442,3382,553,219,151,66,4371,71,8375
양산동,계,27230,12851,10178,1210,665,455,145,12653,198,14379
양산동,관내사전투표,5152,5151,4276,305,278,192,49,5100,51,1
양산동,선거일투표,22078,7700,5902,905,387,263,96,7553,147,14378
신용동,계,22477,11215,8475,1365,657,458,143,11098,117,11262
신용동,관내사전투표,4008,4008,3218,322,241,161,41,3983,25,0
신용동,선거일투표,18469,7207,5257,1043,416,297,102,7115,92,11262
