읍면동명,구분,선거인수,투표수,후보자별 득표수,후보자별 득표수,후보자별 득표수,무효 투표수,기권자수
읍면동명,구분,선거인수,투표수,더불어민주당 김경수,국민의힘 박완수,계,무효 투표수,기권자수
합계,,10267,8635,3915,4403,8318,317,1632
관외사전투표,,623,623,363,248,611,12,0
고성읍,계,1443,892,325,537,862,30,551
고성읍,선거일투표,1443,892,325,537,862,30,551
삼산면,계,346,346,175,163,338,8,0
삼산면,관내사전투표,346,346,175,163,338,8,0
하일면,계,366,366,167,191,358,8,0
하일면,관내사전투표,366,366,167,191,358,8,0
하이면,계,648,648,296,332,628,20,0
하이면,관내사전투표,648,648,296,332,628,20,0
상리면,계,316,316,171,139,310,6,0
상리면,관내사전투표,316,316,171,139,310,6,0
대가면,계,342,342,175,156,331,11,0
대가면,관내사전투표,342,342,175,156,331,11,0
영현면,계,214,214,91,116,207,7,0
영현면,관내사전투표,214,214,91,116,207,7,0
영오면,계,279,279,135,134,269,10,0
영오면,관내사전투표,279,279,135,134,269,10,0
개천면,계,199,199,104,86,190,9,0
개천면,관내사전투표,199,199,104,86,190,9,0
구만면,계,235,235,134,90,224,11,0
구만면,관내사전투표,235,235,134,90,224,11,0
회화면,계,806,805,338,443,781,24,1
회화면,관내사전투표,806,805,338,443,781,24,1
마암면,계,442,442,221,191,412,30,0
마암면,관내사전투표,442,442,221,191,412,30,0
동해면,계,544,544,284,240,524,20,0
동해면,관내사전투표,544,544,284,240,524,20,0
거류면,계,3464,2384,936,1337,2273,111,1080
거류면,관내사전투표,823,823,409,384,793,30,0
거류면,선거일투표,2641,1561,527,953,1480,81,1080
